doc_id,parte,capit,sent_num
71,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,40
72,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,41
73,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,42
74,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,43
75,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,44
76,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,45
77,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,46
78,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,47
79,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,48
80,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,49
81,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,50
82,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,51
83,NAB'E,TA XWINAQIR K'U RI ULEW KUMAL,52
84,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",0
85,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",1
86,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",2
87,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",3
88,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",4
89,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",5
90,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",6
91,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",7
92,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",8
93,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",9
94,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",10
95,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",11
96,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",12
97,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",13
98,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",14
99,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",15
100,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",16
101,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",17
102,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",18
103,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",19
104,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",20
105,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",21
106,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",22
107,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",23
108,NAB'E,"K'EJE K'UT UTIJTOB'EXIK CHIK WINAQ TZ'AQ,",24
109,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",0
110,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",1
111,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",2
112,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",3
113,NAB'E,"K'ATE K'UT UB'IXIK RI' CHI KECH RI E NIK'WACHINEL,",4
