doc_id,doc_str
693,utz b'a la' chiwelesaj
694,chito' uloq
695,xcha' k'ut
696,ta xel k'u ri re Wuqub' Kaqix.
697,Xa saqi'ixim uk'exel re xokik
698,xa chi k'u saqjulujuj chi ula ixim puchi'
699,jusu k'u xqaj uwach
700,ma wi ajaw chik xwachinik
701,xk'iselik ri re k'uwal
702,raxkawakoj puchi'
703,ta xkunax chi k'ut ub'aq' uwach Wuqub' Kaqix
704,ta xch'olik ub'aq' uwach
705,xk'iselik ri puwaq
706,ma na k'ax taj xuna'o
707,xa wi xere kamuqunik
708,ta xk'isk'u'elik ri unimarisab'al rib'
709,"xa wi kina'oj ri Jun Ajpu, Xb'alanq'e"
710,ta xkam k'ut ri Wuqub' Kaqix
711,ta xuk'am k'ut uq'ab' ri Jun Ajpu
712,xkam nay puch Chimalmat
713,rixoqil Wuqub' Kaqix
714,keje k'ut usachik uq'inomal Wuqub' Kaqix ri'
715,xa ajkun xk'amowik ri k'uwal yamanik
716,xupunab'ej
717,Nawal ati't nawal mama' xb'anowik
718,ta xkik'am k'ut kiq'ab'
719,xtikitax ukoq
720,utz chik xuxik
721,xa rumal ukamik Wuqub' Kaqix
722,xkaj
723,keje xkib'ano
724,itzel xkilo nimarisab'al rib'
725,k'a te k'ut xeb'e chik
726,e ka'ib' k'ajolab'
727,xa utzij ri uk'u'x kaj
728,ta xkib'ano.
729,Wa'e chi k'ute ub'anoj chik Sipakna
730,unab'e k'ajol Wuqub' Kaqix
731,in b'anol juyub' kacha' ri Sipakna
732,are k'u ri Sipakna
733,katinik chuchi' ja'
734,ta xe'ik'owik omuch' k'ajolab'
735,e juruy che' raqan kikab'al
736,omuch' chub'inik
737,ta xkiq'at k'ut jun nimache'
738,uwapalil
739,k'a te k'ut xb'e ri Sipakna
740,xopon k'u chi la' kuk' ri omuch' k'ajolab'
741,naqi pa kib'ano ix k'ajolab'
742,xa che' ma wi kaqayako
743,chiteleb'a'
744,xchintelej
745,a pa kopon wi
746,naqi pa uchak chi ik'u'x
