para_num,term_str,n
9,amaquel,2
9,anilabic,1
9,are,7
9,ban,1
9,banol,1
9,baquil,1
9,bit,3
9,bitol,2
9,boh,3
9,butic,1
9,ca,5
9,cabac,1
9,cac,1
9,cah,4
9,cahau,1
9,cahizabal,1
9,camalotz,1
9,camizax,1
9,camizaxic,1
9,capatan,1
9,caporoh,1
9,cate,1
9,cava,1
9,cax,4
9,cha,1
9,che,5
9,cheel,1
9,chi,5
9,chic,6
9,chicah,1
9,chicop,2
9,chicuri,1
9,chila,1
9,chipe,1
9,chique,5
9,chique:,1
9,chiquech,1
9,chitaninic,1
9,chiu,1
9,chiue,1
9,chiuih,1
9,chivach,1
9,chivachinic,1
9,chiya,1
9,chiyuch,1
9,chu,1
9,chucab,1
9,chuch,1
9,chuti,1
9,chuuicac,1
9,chuvach,2
9,chuvi,2
9,coh,1
9,cohicato,1
9,cohicuxih,1
9,cohivuchaah,1
9,cohmucunic,1
9,cohqhauic,1
9,conohel,1
9,cotcovach,1
9,cotzbalam,1
9,cu,2
9,cumal,1
9,curi,2
9,cut,11
9,cutuxic,1
9,e,3
9,etzixel,1
9,ha,2
9,hab,3
9,haruh,1
9,holi,2
9,hu,3
9,hul,2
9,hule,1
9,huqui,2
9,huracan,1
9,i,1
9,iuumal,1
9,ivumal,2
9,ixchi,1
9,ixoc,2
9,ixtana,1
9,izac,1
9,la,1
9,lac,1
9,ma,1
9,mal,2
9,malihab,1
9,mata,1
9,maui,6
9,mayxic,1
9,mi,2
9,na,1
9,nabe,1
9,nima,3
9,nohel,1
9,oc,1
9,oh,1
9,oquic,1
9,pa,8
9,poy,3
9,pu,4
9,puch,3
9,qite,1
9,qo,2
9,qoy,2
9,que,2
9,quebalqui,1
9,quecal,1
9,quech,1
9,quechelah,1
9,quehe,2
9,queheri,1
9,queqhaquix,1
9,querah,3
9,quetzac,1
9,qui,27
9,quibaquil,1
9,quibochil,1
9,quibutic,1
9,quichi,1
9,quih,2
9,quihil,1
9,quiholom,2
9,quinauic,1
9,quitiohil,2
9,quivi,1
9,quixcub,1
9,quixvaic,1
9,quÿzic,1
9,re,1
9,retal,3
9,ri,10
9,ro,1
9,ronohel,2
9,ru,1
9,ruma,1
9,rumal,7
9,ta,10
9,taεal,1
