para_id,H,I,A,F,B,E,D,G,C
51,0.001808041830929957,1.1711121423204838e-70,1.5162611531870538e-60,2.4107674084083082e-34,1.7007293342981456e-61,0.01789582561622723,1.475144220508714e-37,3.599040533408831e-15,3.0517568556747957e-29
52,9.215314931555345e-21,1.430115372241573e-35,5.221792943941277e-28,4.1173022289551723e-67,7.671708743830956e-23,0.01381401619972595,7.711036846373918e-35,1.703196524281628e-26,8.552075207646509e-90
53,0.0004388670134684779,2.6330551824015613e-46,0.001416327892066588,0.0027489123390747397,6.7022248233882475e-21,0.015196432853729406,7.852478792950017e-46,5.24430950196243e-42,6.190642996280494e-50
54,7.026046159731545e-36,8.078492598915424e-72,5.4542299467792944e-48,2.58622367614354e-07,3.442783842590036e-92,0.010446825598861837,4.814300089320328e-69,6.436017463913566e-60,5.208388554514421e-69
55,3.8085145117569433e-16,6.382594980404295e-38,0.0008776784743173241,5.93767061325049e-42,2.5496866560728245e-43,0.011985782025294706,4.170306188103865e-14,0.009174654783799552,3.7656602975855145e-39
56,0.0035291320382768326,7.280618937449948e-42,4.256276012240522e-53,1.4962712151247397e-46,0.0010928968477952694,0.0040281679173279185,4.2597867035443824e-10,0.014617492348646195,5.218005030990411e-16
57,4.991268042738884e-07,1.0793619216512462e-44,2.533933928993364e-45,3.546827025885366e-28,1.1171937253285274e-26,0.003473422618229214,0.0010004479423247783,0.018034188287721666,2.401044497678083e-20
58,0.0015499939527949176,1.3114386539489765e-52,8.781978199480651e-38,0.007604945026650448,2.199262819365342e-31,0.01341188589951651,3.0964948976647332e-21,1.5064673159198629e-43,1.1920828815724963e-14
59,4.3937206373326765e-15,1.533428145306912e-68,8.023626510004398e-97,0.0025534494550647473,5.150075383111256e-41,0.01117983662781935,2.712193548641447e-37,9.967979120105202e-32,0.00304054794248252
60,2.1388699372427546e-06,8.025052217539625e-45,7.656779833151879e-43,2.1209760764221607e-47,1.1310054781920677e-50,0.016894913319893158,5.362797645986624e-22,6.932511962039883e-61,2.665848394308289e-08
61,0.0065300992534186725,1.1136363887097943e-45,2.2327447652835418e-68,0.018921784897517554,1.3907396174337868e-51,5.238983148823315e-13,1.7728864270894778e-23,3.720335482103546e-45,9.538661442522869e-30
62,0.00428888877320626,1.334674139828615e-28,2.177915793130479e-88,0.01871864211876679,1.9180682581411295e-34,3.4477061232971976e-14,0.007423926765868218,1.1717686036884684e-24,1.7644533839994064e-18
63,0.004503022467593024,1.6534607808196754e-54,7.732446698991788e-87,0.003926639176591818,9.80906692070199e-54,1.865990090027365e-29,0.01760268318698294,5.792210668331804e-29,5.756451810438157e-20
64,0.005084924076544763,6.810889752759386e-44,8.1723216998176745e-81,0.002598734054724488,2.3769652406075742e-51,4.724460203168474e-29,0.014658831434066318,6.678092903957865e-29,3.539067649157967e-25
65,8.60036010161834e-15,1.8096756819068408e-36,1.4404769048656974e-28,0.006450217366485264,1.0020489172374105e-26,1.8763681458672936e-29,0.018789988729798673,8.437920611335069e-39,3.062229335180924e-16
66,0.01935641288534669,3.858987990784517e-51,2.433944866994161e-71,3.753714167401624e-27,7.440317230381473e-27,1.643296254278187e-27,0.006124690800017379,2.7762715347258804e-40,1.1380645550762297e-14
67,2.8904819479909854e-19,1.3623188009536635e-59,8.325479646747072e-66,3.051448635704245e-48,2.2614686727978298e-64,8.397648442161715e-44,0.01754911650356416,1.2850421911896298e-67,1.1756457941099746e-20
68,0.0005575666790683806,2.0422409764174644e-16,1.512917667656605e-60,7.770252825380106e-39,1.5118513994985397e-33,1.6052737495337997e-35,7.055873379955726e-22,3.77821471896743e-43,0.0244360975845662
69,1.49890695376136e-08,9.419002978940237e-55,4.066881412692372e-108,2.0285782642514514e-28,4.2717010616188036e-68,3.4058379194310237e-19,7.555330564184271e-29,8.709843125298801e-47,0.01674427802218251
