doc_id,B,F,E,D,A,C
118,4.855326867981313e-07,0.0033198811479470923,2.6692881911399603e-20,8.968431670723954e-18,2.361377816972244e-23,0.010775796775498097
119,5.422377886338585e-10,0.005019373222136356,1.9152664348773806e-19,3.131383226751472e-14,4.4560846396958086e-24,0.011667166691853031
120,1.0470761440295693e-23,0.011446309263246834,2.0428549263065422e-34,8.495010007006794e-22,1.1847357177667989e-42,1.8328526648392853e-30
121,1.0264249309075529e-12,5.889294538965602e-05,1.6002030733786387e-34,0.015532836544870404,3.327739486115869e-25,3.478905549091125e-21
122,1.244682617359988e-14,0.01444368535324549,1.6266232922646218e-21,2.066692861873669e-13,1.913833785488437e-24,3.6799599098267005e-20
123,3.6577395217040998e-06,0.016514353365430244,1.0833471532410573e-30,6.856466292752332e-11,3.9889771828942533e-13,1.0320543523173017e-09
124,3.233787206228936e-21,1.7878947897977433e-05,8.723807292560701e-37,0.010638150286582004,1.8724543435542742e-35,6.7261498413991715e-37
125,5.624745568729541e-37,5.679006469602473e-13,1.7149793282028844e-06,0.010431062907271789,1.971249005357562e-37,3.9908441806007344e-26
126,4.5495387181947327e-29,6.678816059470619e-26,5.710398883106111e-43,0.014741510505117442,1.1663425885742526e-21,2.929105278939388e-39
127,5.576299447649901e-18,0.015183853162240265,4.937214122389309e-19,0.0005269178842002215,5.186877427381312e-23,4.916002391796275e-22
128,1.499768192421628e-17,2.3300972334791035e-08,0.0010235167329760806,0.012794163252593724,2.2392489566005552e-25,7.486696251521481e-25
129,1.9574032722525665e-16,0.01836063759980445,0.0027909064073387943,4.081964900624839e-12,1.2650885592088523e-19,8.593589601754933e-19
130,2.6840910631826925e-23,0.01190405297773483,0.0038918932941817827,6.222071780259017e-25,9.585447983770264e-15,3.6209579117336827e-31
131,5.816370471752116e-36,1.0562073793056254e-44,0.011237761980284621,4.1121890780295e-53,5.928934038519687e-49,5.82000353825817e-46
132,3.649616215764493e-61,1.0360669983718895e-52,0.009209079074209488,1.7071667717924329e-62,7.554846737846573e-71,4.093860741804546e-70
133,7.00317174712063e-63,1.1996173816614242e-30,0.007440881307471692,1.5280703440014646e-58,4.4099900884749746e-60,2.4315238750079637e-61
134,4.988473813421079e-26,0.009026914788915172,0.0014003136637393135,2.047979915973401e-30,3.8590186800447094e-22,2.9619073603561396e-23
135,9.887730606462182e-22,1.985503640269243e-08,0.0020096145847242597,8.713827513953907e-08,0.007685601687716482,1.351137887277658e-28
136,5.621940442380843e-19,0.010328086034710911,0.0026506494330353764,1.5190502585593872e-18,2.6231313621118123e-16,7.616412445255728e-19
137,4.145368755334337e-18,0.014890879880062977,1.0074595866815647e-06,2.1016461222988938e-15,1.3996406201997041e-22,2.470565096071742e-24
138,2.966784444399495e-11,0.005076238453363335,0.016226188858638073,1.0117091311887739e-13,8.608774934874425e-16,1.1226400743114387e-06
139,1.1963668266340037e-20,0.018781448403312653,0.0027924275882389043,8.412880254088187e-23,0.0004470530769916989,2.957243642313656e-20
140,3.1926469691553124e-38,0.005283567877975986,0.004391829549424563,2.0813496943845115e-32,9.338274928558718e-24,5.622682615458925e-17
141,1.0105387254831215e-47,0.008622192152896247,0.0021091965045843615,1.852004527746701e-44,5.650002999740134e-40,2.593864244179543e-38
142,1.1614384949898051e-46,8.679687248912516e-43,0.009073800064687316,3.075933223524551e-45,4.147918980203103e-53,3.279988964095348e-48
143,7.77318196107121e-55,1.2884169006521908e-58,0.0061097818755154,5.726960619900411e-71,2.777881676586391e-65,2.3794496604731053e-51
144,3.585033704140473e-39,7.457795555576782e-06,0.00901376799330142,7.987954628181716e-33,2.727155171392127e-30,1.1208312886472647e-52
145,1.5549704017488529e-37,2.4761968174765254e-32,0.006760182606258026,2.798262395809791e-37,2.6418369725567303e-57,7.871430184954694e-46
146,2.879321608911907e-42,2.19464567955837e-31,0.0073353027754653015,2.2817343907018382e-27,8.78117144842157e-48,3.7037419683256456e-45
147,4.0729261834722987e-45,0.000117694655639835,0.012272402870681796,1.025146108764014e-17,4.2269154062568065e-35,4.330799310336779e-48
148,3.1300457191664093e-30,8.135023149867747e-36,0.008460628268358111,8.986478257712837e-40,1.0629943811324287e-50,6.328835262912971e-41
149,9.598367451740202e-68,1.0471257031160225e-22,0.008935558465877898,9.164229513729151e-28,4.3358089548228143e-51,2.38524315178612e-44
150,5.927246266589227e-38,5.52826381742141e-28,0.00806541470069556,3.0970294184303904e-30,3.353514021020137e-35,1.801037274084217e-46
151,4.801285923556485e-26,3.902892079677904e-14,0.00841673995023779,7.209482677715498e-17,4.610504237118887e-17,3.1499607507884813e-23
152,4.815423014432949e-21,9.46824152403621e-16,0.010766369772118712,2.1787221984856932e-18,2.547651849990687e-16,9.042193145366049e-22
