para_id,C,B,A,D
85,0.01232775480139118,0.002174353491461204,3.322860253934487e-61,0.006945158568659526
86,1.2265236618026286e-14,1.6740307499103083e-09,2.959514509432032e-48,0.018805923212670998
87,0.020425163338482176,4.906564975569424e-19,2.0858523597268973e-55,0.005124616758881609
88,0.0232599103682322,7.205723584157931e-18,3.8457403336302733e-14,6.917481256872946e-10
89,0.016826281265825097,9.18962584401087e-33,7.709388194391243e-28,0.004922066432415206
90,0.02217303403068156,0.0017900904696409256,9.653402702032493e-17,0.007515361661831544
91,0.02219832651712812,0.0029335436760240226,0.001618791282907704,0.0038907815513488184
92,0.00664560890168586,0.006544648784734793,0.0015751607422783403,0.01684150609831608
93,5.7219514237989326e-39,7.15715241676532e-44,1.3087193985855036e-43,0.017631974819917216
94,0.003845314392038216,0.008558583448655298,1.5874765529107004e-10,0.011782860161767945
95,4.199021707550319e-05,0.022533638229225966,0.000519947915581237,3.0827530818269233e-28
96,0.010222791428812677,0.01984102681490884,3.8377114623678097e-19,1.2432296940265407e-08
97,9.037335174729675e-10,0.016253507820936795,8.311203133255167e-39,2.51728376511089e-43
98,2.4064789501593074e-66,0.008412855235759045,1.999216107706469e-65,0.0032804141044039275
99,0.0009787909601553977,0.0238036833868389,0.004267586243346715,0.0006524431016942657
100,2.1849752806466994e-15,0.019541205190081425,0.002507023931274804,8.214397874890041e-07
101,0.0022954458362138617,0.021299739520724812,5.0667703528907093e-11,3.136781800178323e-14
102,0.001391398714529062,0.018027568212466545,2.9448776615398064e-77,2.412680655488138e-14
103,0.011806921632232082,0.013818752153652757,3.9736850525587885e-54,0.0015900654282910583
104,5.661876667943694e-42,0.016082892536730446,5.622414001792499e-77,3.629516763712495e-52
105,3.079234913107006e-06,0.023854627581371413,0.00029407194421836384,0.0026467630981075675
106,5.097825714417953e-23,0.007222896707377372,2.293393891837827e-74,0.0075462654803987285
107,0.00030453576442443134,0.024172457103869904,2.050332492358292e-26,0.0017779213559325439
