ent_str_norm,n,p,i,h,df,dfidf
NOH,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
NOTRAIANGRANDESPRESENTES,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
TOHU,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
PORQUEENVERDAD,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
ESTAAN,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
APARIENCIA,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
YCUANDOLASANGRE,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
PAZILIBUNTADADESANGRE,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
ALEGRABANSE,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
QUEKTZU,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
LOSSACERDOTESYSACRIFICADORESESTABANARRODILLADOS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
ELLOSESTABANENLAESPESURA,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
BATENA,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
YAQUITEPEU,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
PIDAMOSLES,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
SEMEJANTEAUNHOMBRE,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
NOERACIERTAMENTEELMISMOSOLQUENOSOTROS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
TODOS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
SOLOLASANGREDELOSVENADOS,1,0.00037893141341417203,11.365775635326269,0.004306849426042542,1,5.523561956057013
