w0,w1,n
<s>,dadselas,1
<s>,de,28
<s>,dejad,1
<s>,dejaremos,1
<s>,delante,1
<s>,dentro,1
<s>,desde,2
<s>,deseabanlo,1
<s>,despidieronse,1
<s>,despues,7
<s>,detras,1
<s>,dicen,1
<s>,dieron,1
<s>,dieronle,1
<s>,diferentes,1
<s>,dijo,1
<s>,dios,1
<s>,directamente,1
<s>,diremos,2
<s>,don,2
<s>,dos,1
<s>,durante,1
<s>,el,34
<s>,ellas,2
<s>,ellos,10
<s>,en,82
<s>,encerraron,1
<s>,encontraron,1
<s>,enseguida,1
<s>,entonces,34
<s>,entraron,2
<s>,entre,4
<s>,entremos,1
<s>,envoltorio,1
<s>,era,2
<s>,eran,8
<s>,eso,1
<s>,esparciose,1
<s>,esperad,1
<s>,esta,12
<s>,estaban,9
<s>,estamos,1
<s>,estas,6
<s>,este,15
<s>,esto,15
<s>,estos,24
<s>,estuvieron,1
<s>,existia,1
<s>,existieron,1
<s>,extendieron,1
<s>,extiende,1
<s>,frente,1
<s>,fue,3
<s>,fueran,1
<s>,fueron,7
<s>,fueronse,1
<s>,gran,3
<s>,grande,10
<s>,grandemente,2
<s>,grandes,4
<s>,gucumatz,2
<s>,habia,7
<s>,habian,2
<s>,habiendo,2
<s>,hablaban,2
<s>,hablaron,1
<s>,hablo,2
<s>,hacavitz,1
<s>,hace,1
<s>,hacia,2
<s>,hagamos,1
<s>,hallabanse,1
<s>,hasta,1
<s>,hay,2
<s>,he,21
<s>,hemos,1
<s>,hicieron,1
<s>,hirieronlo,1
<s>,honraron,1
<s>,hoy,1
<s>,hubo,1
<s>,humillaronse,1
<s>,hun,1
<s>,hunahpu,3
<s>,hunbatz,1
<s>,hunhunahpu,1
<s>,huracan,1
<s>,huyeron,1
<s>,iba,1
<s>,iban,1
<s>,id,2
<s>,igualmente,1
<s>,incitaban,1
<s>,incontables,1
<s>,inmediatamente,1
<s>,inutilmente,1
<s>,invocabanlos,1
<s>,ire,1
<s>,ixbalanque,1
<s>,iztayul,1
<s>,jamas,1
<s>,juntos,4
<s>,la,11
<s>,las,5
<s>,les,2
<s>,llamabase,2
<s>,llaman,1
<s>,llegaron,7
<s>,llego,5
<s>,llenaronse,1
<s>,llevadla,1
<s>,llevadle,1
<s>,llevando,1
<s>,lloraban,2
<s>,lo,6
<s>,lolmetahau,1
<s>,lolmetquehnay,1
<s>,los,27
<s>,lotzquic,1
<s>,lueg,1
<s>,luego,62
<s>,mahucutah,1
<s>,manana,1
<s>,mandaron,1
<s>,maravillaronse,2
<s>,marcharon,1
<s>,marcharonse,1
<s>,mas,1
<s>,mi,1
<s>,mientras,5
<s>,miraban,1
<s>,mirad,1
<s>,mirose,1
<s>,moleremos,1
<s>,muchas,2
<s>,mucho,2
<s>,muchos,8
<s>,muy,1
<s>,nada,1
<s>,ni,3
<s>,nimacamha,1
<s>,nimalolmetycolrux,1
<s>,nimchocohahau,1
<s>,nimchocohcavec,1
<s>,nimchocohnihaib,1
<s>,no,56
<s>,nos,2
<s>,nosotros,10
<s>,nuestra,1
<s>,nuestras,2
<s>,nuestro,1
<s>,nuestros,1
<s>,nuevamente,1
<s>,numerosas,1
<s>,nunca,1
<s>,obligala,1
<s>,oidla,1
<s>,os,3
<s>,otros,5
<s>,para,1
<s>,pararon,1
<s>,pasados,1
<s>,pasaron,4
<s>,pensad,1
<s>,pero,66
<s>,pertenezco,1
<s>,pico,2
<s>,pidamosles,1
<s>,poco,5
<s>,ponednos,1
<s>,popolvinac,2
<s>,por,16
<s>,porque,6
<s>,positivamente,1
<s>,posteriormente,1
<s>,preguntad,1
<s>,preguntaronles,1
<s>,previamente,1
<s>,primeramente,1
<s>,primero,4
<s>,probo,1
<s>,pronto,3
<s>,provemos,1
<s>,pusieronlos,1
<s>,pusieronse,1
<s>,qoacul,1
<s>,qocaib,1
<s>,qocavib,1
<s>,que,6
<s>,quedaba,1
<s>,quedaos,1
<s>,quedaron,1
<s>,quedaronse,1
<s>,quema,1
<s>,quemaban,1
<s>,queno,1
<s>,quien,1
<s>,quieren,1
<s>,quiso,1
<s>,quizas,1
<s>,rapidamente,3
<s>,realmente,1
<s>,recibieron,1
<s>,recoged,1
<s>,regresaron,1
<s>,reunanse,1
<s>,reunieronse,4
<s>,rodearon,1
<s>,sabian,1
<s>,sabreis,1
<s>,sacaronle,1
<s>,salieron,3
<s>,salio,1
<s>,saliose,1
<s>,se,13
<s>,seguramente,1
<s>,semejante,3
<s>,senor,1
<s>,senores,1
<s>,sereis,2
<s>,si,6
<s>,siempre,1
<s>,siete,1
<s>,sigue,1
<s>,sin,9
<s>,solamente,13
<s>,solo,22
<s>,somos,1
<s>,su,6
<s>,sube,1
<s>,suerte,1
<s>,sus,6
<s>,tal,5
<s>,tambien,1
<s>,tampoco,8
<s>,tantos,1
<s>,tecum,1
<s>,tenemos,3
<s>,tenian,2
<s>,tepepul,1
<s>,tepeuyaqui,1
<s>,tiene,1
<s>,tocaron,1
<s>,toda,1
<s>,todas,1
<s>,todavia,1
<s>,todo,2
<s>,todos,8
<s>,tohil,2
<s>,traian,1
<s>,tranquilos,1
<s>,trece,1
<s>,tres,1
<s>,tu,1
<s>,turnabanse,1
<s>,tzotziha,1
<s>,tzutuha,1
<s>,uchuchcamha,1
<s>,un,5
<s>,una,5
<s>,unas,1
<s>,unicamente,1
<s>,unos,1
<s>,vamos,5
<s>,variadas,1
<s>,veamos,1
<s>,vemos,1
<s>,ven,1
<s>,venian,1
<s>,venid,2
<s>,verdaderamente,7
<s>,vere,1
<s>,viendo,1
<s>,vieron,1
<s>,vinacbam,1
<s>,vinieron,1
<s>,vinieronlos,1
<s>,vinieronse,1
<s>,volvereis,2
<s>,volvieron,1
<s>,volvieronse,2
<s>,volviose,2
<s>,vosotros,1
<s>,vucubah,1
<s>,vucubcaquix,1
<s>,vucubnoh,1
<s>,vuestras,1
<s>,vuestro,1
<s>,vuestros,1
<s>,xebalax,1
<s>,xiquiripat,1
<s>,y,270
<s>,ya,14
<s>,yacolatam,1
<s>,yo,4
<s>,zipacna,2
<s>,zotziha,1
a,,1
a,abrazarnos,1
a,abrir,1
a,admirar,1
a,amanecer,1
a,andar,1
a,aparecer,2
a,aquella,2
a,aquellas,1
a,aquello,1
a,aquellos,1
a,arder,1
a,arrancarles,1
a,arreglar,1
a,arrojarlos,1
a,asar,1
a,avilix,1
a,baiamquitze,1
a,bailar,2
a,bajar,1
a,bajarlos,1
a,balamquitze,9
a,botarlos,1
a,brilla,1
a,buscar,7
a,buscarla,1
a,buscarlo,1
a,cabo,1
a,cabracan,5
a,cada,8
a,caer,3
a,cantar,2
a,casa,1
a,cauda,1
a,causa,19
a,cavar,1
a,cernerse,1
a,cierto,1
a,coger,5
a,cogerlo,1
a,cogerlos,1
a,colche,1
a,colgar,2
a,colocarla,1
a,colocarte,1
a,comer,1
a,comunicar,1
a,conocer,7
a,conseguir,1
a,consultar,1
a,continuacion,15
a,correrpero,1
a,corta,1
a,cortar,4
a,cortarlas,1
a,cortarles,1
a,cosechar,1
a,crear,1
a,cuestas,4
a,dar,4
a,darles,3
a,darnos,1
a,declarar,1
a,dejar,1
a,depositar,1
a,derramarse,1
a,despedimos,1
a,despedirnos,1
a,devolverlos,1
a,distancia,1
a,divertir,1
a,divertirse,1
a,donde,16
a,dos,2
a,ella,1
a,ellas,1
a,ellos,9
a,emprender,1
a,ensenarmelo,1
a,entregar,2
a,entregarlo,1
a,entregarse,2
a,esconderlos,1
a,esos,1
a,esperar,1
a,esta,3
a,estas,1
a,este,1
a,estos,2
a,fabricar,1
a,fortificar,2
a,frente,1
a,fundar,1
a,gatas,1
a,gritar,2
a,guardar,1
a,hablar,3
a,hacer,8
a,hacerle,1
a,honrarlo,1
a,hun,2
a,hunahpu,11
a,hunbatz,3
a,hunhunahpu,6
a,huracan,1
a,ia,1
a,imitacion,1
a,invocar,1
a,ixmucane,1
a,ixpiyacoc,2
a,ixtah,2
a,joven,1
a,jugar,11
a,juicio,1
a,juntar,1
a,la,84
a,las,36
a,lavar,3
a,levantar,1
a,llamar,5
a,llamarlos,4
a,llevarles,2
a,llevarnos,1
a,llevarse,1
a,llorar,1
a,lo,2
a,los,86
a,luz,7
a,manera,1
a,matar,4
a,mediodia,2
a,mi,2
a,mis,3
a,morir,1
a,mostrarse,1
a,muchachos,1
a,ninguna,2
a,ninguno,1
a,nosotros,6
a,nostros,1
a,nuestra,7
a,nuestro,2
a,nuestros,3
a,observar,1
a,ocupar,1
a,ofrecer,1
a,ofrendarles,1
a,oidos,2
a,oir,1
a,otro,1
a,otros,1
a,pagar,1
a,paxil,1
a,pedir,3
a,pedirlas,1
a,pediros,1
a,pelear,1
a,pesar,1
a,picarles,1
a,pintar,1
a,poca,1
a,polvo,1
a,ponerla,1
a,ponerlo,1
a,ponerlos,1
a,ponerse,2
a,pre,1
a,preparar,1
a,presencia,5
a,presentar,2
a,probar,2
a,punto,1
a,que,5
a,quedar,1
a,quemar,1
a,quicab,1
a,quien,3
a,quienes,9
a,recibir,6
a,recoger,3
a,recogerlo,1
a,reir,4
a,reirse,1
a,reunirse,1
a,robarnos,1
a,sacar,3
a,sacrificar,4
a,sacrificarlos,1
a,saludar,1
a,saludarlos,1
a,secarse,1
a,seguir,1
a,sembrar,1
a,sentaros,1
a,sentir,1
a,ser,3
a,servir,1
a,servirte,1
a,si,4
a,socorredme,1
a,su,39
a,sus,31
a,tepeu,1
a,ti,1
a,tierra,1
a,tirar,1
a,tirarle,1
a,tocar,3
a,toda,2
a,todas,6
a,todos,15
a,todoslos,1
a,tohil,16
a,tomar,2
a,tomarlas,1
a,traelas,1
a,traemos,2
a,traer,5
a,traerla,1
a,traernos,2
a,tu,2
a,tulan,6
a,tulanzuiva,1
a,un,10
a,una,2
a,unir,2
a,uno,3
a,vencer,1
a,ver,12
a,verla,1
a,verle,1
a,verles,1
a,verlos,1
a,vigilar,1
a,vosotras,1
a,vosotros,4
a,vucubcaquix,2
a,vucubhunahpu,2
a,vuestra,1
a,vuestras,1
a,vuestro,1
a,vuestros,3
a,xibalba,5
a,xulu,1
a,zipacna,4
abajo,,2
abajo,los,1
abandonada,,1
abandonado,nuestra,1
abandonando,su,1
abandonaran,la,1
abandonaron,a,1
abandonaron,el,1
abarcar,grandes,1
abejas,,1
abejas,para,1
abejas,que,1
abejorros,y,4
abertura,que,1
abierta,,1
abierto,,1
abierto,por,1
abismo,hacia,1
aborrecian,a,1
abra,el,1
abrazaremos,,1
abrazarnos,,1
abrianlas,montanas,1
abriendo,otro,1
abrieran,,1
abrieron,la,1
abrieron,las,1
abrieron,un,1
abrimos,el,1
abrir,el,2
abrumado,de,1
abrumados,por,1
absoluto,con,1
abuela,,38
abuela,a,1
abuela,contuvo,1
abuela,de,2
abuela,del,5
abuela,encendio,1
abuela,hasta,1
abuela,lloraba,1
abuela,ni,1
abuela,no,2
abuela,nuestra,6
abuela,nuestrasolo,1
abuela,que,1
abuela,se,1
abuela,si,1
abuela,vio,1
abuela,y,11
abuelita,,1
abuelo,,4
abuelo,cuyos,1
abuelo,y,7
abuelos,,3
abuelos,y,6
abundancia,de,1
abundante,en,1
abundante,tambien,1
abundante,vino,1
aca,,6
aca,al,1
aca,dentro,1
aca,por,1
aca,sus,1
aca,tu,2
aca,y,1
acab,,2
acab,y,1
acaba,picandolos,1
acababan,de,1
acabado,de,2
acabado,todos,1
acabado,y,1
acabando,nuestros,1
acabar,con,1
acabar,de,1
acabaran,sus,1
acabaremos,a,1
acabaron,,3
acabaron,de,6
acabaron,por,2
acabaron,sus,1
acabaste,con,1
acabo,de,4
acarreaban,entre,1
acaso,bastantes,1
acaso,no,8
acaso,numerosos,1
acaso,vuelven,1
acausa,de,1
accion,de,1
acecharemos,,1
acecho,de,1
aceptad,vuestro,1
acerca,de,5
acerca,el,1
acercaba,la,1
acercan,el,1
acercandose,hasta,1
acercaron,al,1
acercaron,y,1
acerco,a,1
acertadamente,hicieron,1
achaclboy,,1
achih,,2
aclare,,4
aclare,y,1
acogeran,,1
acompanaban,les,1
acompanadnos,para,1
acompanados,de,1
acompanan,,1
acompanan,son,1
acompanar,,1
acompanarlos,,1
aconsejado,,1
aconsejaron,a,1
aconsejaros,,1
acoplaos,,1
acordaban,de,3
acordaban,del,1
acordaron,de,1
acostumbraban,no,1
acostumbraron,a,1
actual,ahaugalel,1
actual,chuvila,1
acuerde,de,1
acuerdo,,2
aculvinac,,1
adelante,,1
adelante,apareceran,1
adelante,hasta,1
ademas,,6
adentros,,2
adivina,,1
adivinacion,,2
adivinos,,4
adivinos,aqui,1
admiraba,grandemente,1
admiraban,de,1
admirabanse,de,1
admirable,ver,1
admirables,balamquitze,1
admiracion,,3
admiracion,contemplaban,1
admiracion,oirlas,1
admirada,de,1
admirar,la,1
admiraremos,,1
admiremos,,1
admiremos,y,1
adonde,estaba,1
adoraban,todos,1
adorada,tambien,1
adoradas,por,1
adoradnos,,1
adoradores,,1
adoradores,de,1
adorados,,1
adorados,los,1
adoraran,,1
adoraremos,,1
adoreis,ni,1
adoren,,1
adornadas,,1
adornos,,1
adornos,de,2
adrede,se,1
advertencias,,1
advertido,,1
advertido,su,1
advertidos,,1
advirtieron,,1
afiladas,,1
afilado,y,1
afirme,,1
afliccion,,1
afliccion,de,1
afliccion,sentian,1
afliccion,y,1
afligida,a,1
afligidos,,2
afligidos,cuando,1
aflijais,,8
aflojado,las,1
afuera,,1
afuera,de,1
agachado,para,1
agarraban,las,1
agentes,de,1
agitara,,1
agonia,cuando,1
agorero,,1
agradable,el,1
agradecimiento,ante,1
agradecimientos,,1
agradecimientos,y,1
agregaron,,1
agrego,,4
agrego,la,1
agrupando,junto,1
agruparon,bajo,1
agua,,6
agua,en,1
agua,la,1
agua,las,1
agua,por,1
