parte,capit,ent_str_norm,n
2,9,PERDIDOS,1
2,9,PEROELOCOTE,1
2,9,PRIMERO,1
2,9,PRONTOLLENARONLAS,1
2,9,PUHUYU,1
2,9,PUHUYULPUHUYU,1
2,9,SENOR,4
2,9,SENORES,6
2,9,SOLOALASHORMIGAS,1
2,9,TODALANOCHE,1
2,9,UNRAMODECHIPILINCOLORADO,1
2,9,USAREMOS,1
2,9,VAYA,1
2,9,VELAD,1
2,9,VUCUBCAME,4
2,9,VUESTRAS,1
2,9,XIBALBA,22
2,9,YDEESTAMANERA,1
2,9,YENSEGUIDAENTRARONLOSMUCHACHOSENLACASADELASNAVAJAS,1
2,9,YLASTIMADOSPORSUSDERROTAS,1
2,9,YLLEVANDOLASFLORES,1
2,9,YSUSCORAZONESESTABANTRANQUILOS,1
2,10,ALFIN,1
2,10,ASIDECIANLOSGUARDAS,1
2,10,CAMAZOTZ,3
2,10,CASADEFUEGO,1
2,10,CASADELASTIGRES,1
2,10,CASADELFRIO,1
2,10,CASADELOSMURCIELAGOS,1
2,10,CASADELOSTIGRES,1
2,10,DIJO,1
2,10,HUNAHPU,6
2,10,HUNCAME,1
2,10,IXBALANQUE,3
2,10,IXBALANQUENO,1
2,10,LACASAESTABALLENADEGRANIZO,1
2,10,LACASAESTABALLENADETIGRES,1
2,10,LLENOS,1
2,10,PUSIERONLOS,1
2,10,QUILITZ,2
2,10,SENOR,1
2,10,SOLOARDIANLASBRASASYLALENA,1
2,10,VUCUBCAME,1
2,10,XIBALBA,5
2,10,YESTOSSEPRECIPITARONSOBRELOSHUESOS,1
2,11,AQUIESTALAPELOTA,1
2,11,CASADELOSMURCIELAGOS,1
2,11,DETRASDEELLOS,1
2,11,ELCONEJO,1
2,11,ELCORAZONDELCIELO,1
2,11,GRANDES,1
2,11,HUNAHPU,6
2,11,HURACAN,1
2,11,IBAN,1
2,11,IXBALANQUE,8
2,11,LACABEZADEHUNAHPU,1
2,11,OSCURECE,1
2,11,PEGALE,1
2,11,QUIENDEVOSOTRAS,1
2,11,SALDRA,1
2,11,SENORES,2
2,11,SENORESDEXIBALBA,1
2,11,TANTOSIGUALES,1
2,11,VARIADAS,1
2,11,XIBALBA,6
2,11,YLLEGANDOALEXTREMO,1
2,12,HEAQUI,1
2,12,HUNAHPU,2
2,12,HUNCAME,2
2,12,IXBALANQUE,2
2,12,LOSDE,1
2,12,PACAM,3
2,12,SENORES,1
2,12,SENORESDEXIBALBA,1
2,12,TODOSLOSDEXIBALBA,2
2,12,VUCUBCAME,1
2,12,XIBALBA,4
2,12,XULU,3
2,13,ALEGRARONSE,1
2,13,ALMOMENTOQUEMARONLACASADELSENOR,1
2,13,ALOIRLAEXCLAMARON,1
2,13,BAILAD,1
2,13,CHITIC,1
2,13,CONELROSTROABRUMADODECONTRARIEDAD,1
2,13,CONTENTOS,1
2,13,CUX,2
2,13,DESPEDAZAD,1
2,13,DESPEDAZADNOS,1
2,13,ELSENOR,1
2,13,ESTODICENLOSSENORES,1
2,13,HACED,1
2,13,HUNAHPU,4
2,13,HUNCAME,5
2,13,HUNCAMEYVUCUBCAME,1
2,13,IBOY,1
2,13,IXBALANQUE,5
2,13,IXTZUL,1
2,13,JBOY,1
2,13,LEVANTATE,1
2,13,LOSDE,2
2,13,LOSSENORES,1
2,13,MARAVILLARONSETODOSLOSSENORES,1
2,13,MATAD,1
2,13,NOCONOCEMOSLACARADENUESTRAMADRE,1
2,13,NOLOHABIANDESCUBIERTONILOHABIANENCONTRADO,1
2,13,NOQUEREMOSNADA,1
2,13,NOSOTROSOS,1
2,13,OSDAREMOSVUESTRARECOMPENSA,1
2,13,OSMATAIS,1
2,13,PREGUNTARONLES,1
2,13,PRONTO,1
2,13,PUHUY,2
2,13,QUEMABAN,1
2,13,QUEMAD,1
2,13,QUIENES,1
2,13,RESUCITAREIS,1
