parte,capit,ord,ent_str,ent_str_norm
1,8,40,Zipacná,ZIPACNA
1,8,41,Hu-nahpú,HUNAHPU
1,8,42,Ixbalanqué,IXBALANQUE
1,8,43,Vucub-Caquix,VUCUBCAQUIX
1,8,44,Al pie del cerro,ALPIEDELCERRO
1,8,45,Meauán,MEAUAN
1,8,46,Sólo por un prodigio,SOLOPORUNPRODIGIO
1,9,0,Vucub-Caquix,VUCUBCAQUIX
1,9,1,Cabracán,CABRACAN
1,9,2,Hunahpú,HUNAHPU
1,9,3,Ixbalanqué,IXBALANQUE
1,9,4,Cabracán,CABRACAN
1,9,5,Huracán,HURACAN
1,9,6,Chipi-Caculhá,CHIPICACULHA
1,9,7,Raxa- Caculhá,RAXACACULHA
1,9,8,Hunahpú,HUNAHPU
1,9,9,Ixbalanqué,IXBALANQUE
1,9,10,Vucub-Caquix,VUCUBCAQUIX
1,9,11,Esta es nuestra voluntad,ESTAESNUESTRAVOLUNTAD
1,9,12,Porque no está bien que hace sobre la tierra,PORQUENOESTABIENQUEHACESOBRELATIERRA
1,9,13,Llevadle,LLEVADLE
1,9,14,Huracán,HURACAN
1,9,15,Señor,SENOR
1,9,16,Corazón del Cielo ?,CORAZONDELCIELO
1,9,17,Huracán,HURACAN
1,9,18,Cabracán,CABRACAN
1,9,19,Así lo encontraron los muchachos,ASILOENCONTRARONLOSMUCHACHOS
1,9,20,Cabracán,CABRACAN
1,9,21,Aquí estoy moviendo las montañas,AQUIESTOYMOVIENDOLASMONTANAS
1,9,22,A continuación les preguntó,ACONTINUACIONLESPREGUNTO
1,9,23,Cabracán,CABRACAN
1,9,24,Hunahpú,HUNAHPU
1,9,25,Ixbalanqué,IXBALANQUE
1,9,26,No conozco vuestras caras,NOCONOZCOVUESTRASCARAS
1,9,27,Cómo os llamáis ?,COMOOSLLAMAIS
1,9,28,Cabracán,CABRACAN
1,9,29,No somos más que tiradores con cerbatana,NOSOMOSMASQUETIRADORESCONCERBATANA
1,9,30,Somos pobres,SOMOSPOBRES
1,9,32,Hunahpú,HUNAHPU
1,9,33,Ixbalanqué,IXBALANQUE
1,9,34,Cabracán,CABRACAN
1,9,35,Dónde la visteis ?,DONDELAVISTEIS
1,9,36,Hunahpú,HUNAHPU
1,9,37,Ixbalanqué,IXBALANQUE
1,9,38,Cabracán,CABRACAN
1,9,39,Este nuestro pájaro,ESTENUESTROPAJARO
1,9,40,Así como la tierra,ASICOMOLATIERRA
1,9,42,aclare,ACLARE
1,9,43,Cabracán,CABRACAN
1,9,44,Hunahpú,HUNAHPU
1,9,45,Ixbalanqué,IXBALANQUE
1,9,46,Cabracán,CABRACAN
1,9,48,Dadme,DADME
1,9,49,Diéronle,DIERONLE
1,9,50,Cabracán,CABRACAN
1,9,51,Cabracán,CABRACAN
1,9,52,Atáronle,ATARONLE
1,9,54,Cabracán,CABRACAN
1,9,55,Hunahpú,HUNAHPU
1,9,56,Ixbalanqué,IXBALANQUE
1,9,59,Hunahpú,HUNAHPU
1,9,60,Ixbalanqué,IXBALANQUE
1,9,61,Vucub-Caquix,VUCUBCAQUIX
1,9,62,Zipacná,ZIPACNA
1,9,63,Cabracán,CABRACAN
2,1,0,Hunahpú,HUNAHPU
2,1,1,Ixbalanqué,IXBALANQUE
2,1,2,Dejaremos,DEJAREMOS
2,1,3,Hunahpú,HUNAHPU
2,1,4,Ixbalanqué,IXBALANQUE
2,1,5,Sólo diremos la mitad,SOLODIREMOSLAMITAD
2,1,6,He aquí la historia,HEAQUILAHISTORIA
2,1,7,He aquí el nombre,HEAQUIELNOMBRE
2,1,8,Hun-Hunahpú,HUNHUNAHPU
2,1,9,Ixpiyacoc,IXPIYACOC
2,1,10,Ixmucané,IXMUCANE
2,1,11,De ellos nacieron,DEELLOSNACIERON
2,1,12,Hun-Hunahpú,HUNHUNAHPU
2,1,13,Vucub-Hunahpú,VUCUBHUNAHPU
2,1,14,Ixpiacoc,IXPIACOC
2,1,15,Ixmucané,IXMUCANE
2,1,17,Hun-Hunahpú,HUNHUNAHPU
2,1,18,Hunbatz,HUNBATZ
2,1,19,Hunchouén,HUNCHOUEN
2,1,20,La madre de éstos,LAMADREDEESTOS
2,1,21,Ixbaquiyalo,IXBAQUIYALO
2,1,22,Hun-Hunahpú,HUNHUNAHPU
2,1,23,Vucub-Hunahpú,VUCUBHUNAHPU
2,1,24,Todas las artes,TODASLASARTES
2,1,25,Hunbatz,HUNBATZ
2,1,26,Hunchouén,HUNCHOUEN
2,1,27,Hun-Hunahpú,HUNHUNAHPU
2,1,28,Hunbatz,HUNBATZ
2,1,29,Hunchouén Ahora,HUNCHOUENAHORA
2,1,30,Hun-Hunahpú,HUNHUNAHPU
2,1,31,Vucub-Hunahpú,VUCUBHUNAHPU
2,1,32,Voc,VOC
2,1,33,Huracán,HURACAN
2,1,34,Chipi-Caculhá,CHIPICACULHA
2,1,35,Raxa-Caculhá,RAXACACULHA
2,1,36,Voc,VOC
2,1,37,Xibalbá,XIBALBA
2,1,38,Huracán,HURACAN
2,1,39,Hunbatz,HUNBATZ
2,1,40,Hunchouén,HUNCHOUEN
2,1,41,Xibalbá,XIBALBA
2,1,42,Hun-Camé,HUNCAME
2,1,43,Vucub- Camé,VUCUBCAME
2,1,44,Señores de Xibalbá,SENORESDEXIBALBA
2,1,45,Xibalbá,XIBALBA
2,1,46,Los llamados Hun-Camé,LOSLLAMADOSHUNCAME
2,1,47,Vucub-Camé,VUCUBCAME
2,1,48,A todos los Señores,ATODOSLOSSENORES
2,1,49,Hun-Camé,HUNCAME
2,1,50,Vucub-Camé,VUCUBCAME
2,1,51,Xiquíripat,XIQUIRIPAT
2,1,52,Cuchumacuic,CUCHUMACUIC
2,1,53,Señores,SENORES
2,1,54,Estos son los que causan los derrames de sangre de los hombres,ESTOSSONLOSQUECAUSANLOSDERRAMESDESANGREDELOSHOMBRES
2,1,55,Otros,OTROS
2,1,56,Ahalpuh,AHALPUH
2,1,57,Ahalganá,AHALGANA
2,1,58,Señores,SENORES
2,1,59,Y el oficio de éstos,YELOFICIODEESTOS
2,1,60,Io,IO
2,1,61,Chuganal,CHUGANAL
2,1,62,Ahalpuh,AHALPUH
2,1,63,Ahalganá,AHALGANA
2,1,64,Señor Chamiahac,SENORCHAMIAHAC
2,1,65,Señor Chami-aholom,SENORCHAMIAHOLOM
2,1,66,Xibalbá,XIBALBA
2,1,67,La ocupación de éstos era enflaquecer a los hombres,LAOCUPACIONDEESTOSERAENFLAQUECERALOSHOMBRES
2,1,68,Tal era el oficio de Chamiabac y Chamiaho-lom,TALERAELOFICIODECHAMIABACYCHAMIAHOLOM
2,1,69,Señor Ahalmez,SENORAHALMEZ
2,1,70,Señor Ahaltocob,SENORAHALTOCOB
2,1,71,El oficio de éstos,ELOFICIODEESTOS
2,1,72,Tal era el oficio de Ahalmez,TALERAELOFICIODEAHALMEZ
2,1,73,Ahaltocob,AHALTOCOB
2,1,74,Señores,SENORES
2,1,75,Xic y Patán,XICYPATAN
2,1,76,El oficio de cada uno de estos Señores,ELOFICIODECADAUNODEESTOSSENORES
2,1,77,Este era el oficio de,ESTEERAELOFICIODE
2,1,78,Xic y Patán .,XICYPATAN
2,1,79,Hun- Hunahpú,HUNHUNAHPU
