term_str,n,p,i,h,n_chars,df,dfidf,z,dp,di,dh,stop,tfidf_mean
estos,83,0.002319148341669228,8.752189181389728,0.020297625025995344,5,34,14.827369903426902,1.2539437828469884,0.7391304347826086,0.43609911480667357,0.3223341283353674,False,
estoy,3,8.382463885551427e-05,13.542266112015497,0.0011351755661249683,5,3,11.81579836600757,0.6524615045982772,0.06521739130434782,3.9385994553358565,0.2568651818697298,False,
estreche,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,8,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,
estrella,6,0.00016764927771102854,12.542266112015497,0.002102701854538908,8,5,16.008169305848252,1.4897774351107225,0.10869565217391304,3.201633861169651,0.34800368056191855,False,0.006784432595641536
estrellas,9,0.00025147391656654277,11.957303611294341,0.0030069499707074537,9,7,19.01344923799586,2.090003130533604,0.15217391304347827,2.716207033999409,0.41333585299991005,False,0.00654306964671004
estrepito,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,9,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.000970387855180884
estruendo,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,9,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.000970387855180884
estuviera,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,9,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,
estuvieran,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,10,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,
estuvieron,17,0.00047500628684791417,11.039765771486314,0.005243958146784413,10,10,22.016338611696504,2.6897513747244295,0.21739130434782608,2.201633861169651,0.47861605677601105,False,0.005251817155678296
estuvo,5,0.00013970773142585712,12.805300517849291,0.0017889994855750779,6,3,11.81579836600757,0.6524615045982772,0.06521739130434782,3.9385994553358565,0.2568651818697298,False,
euabalzivan,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,11,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0018115578981314972
exaltando,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,9,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0013202976582410329
examinaban,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,10,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0016886978831847413
examinaron,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,10,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0018303782110975122
excavacion,3,8.382463885551427e-05,13.542266112015497,0.0011351755661249683,10,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.002911163565542652
excitante,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,9,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,
exclamaban,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,10,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0018105654796501894
exclamaron,8,0.00022353237028137137,12.127228612736653,0.0027108281567490913,10,8,20.188495648456104,2.324687773826933,0.17391304347826086,2.523561956057013,0.4388803401838283,False,0.004450924325285791
exclamo,8,0.00022353237028137137,12.127228612736653,0.0027108281567490913,7,4,14.094247824228052,1.1075219120888318,0.08695652173913043,3.523561956057013,0.3063966918310446,False,0.0069790269203446826
