term_str,token_str,stop,vnorm
decadencia,decadencia,False,23.472809
podridas,podridas,False,25.357746
moría,moría,False,23.625154
deshonrada,deshonrada,False,15.706343
estás,estás,False,43.391712
alcanzaron,alcanzaron,False,28.19573
cautivos,cautivos,False,23.26881
vosotros,vosotros,True,23.760378
hablaremos,hablaremos,False,25.010147
salieron,salieron,False,30.028362
has,Has,False,48.810665
instrucción,instrucción,False,25.07142
manera,manera,True,37.882973
recogían,recogían,False,22.55052
concha,concha,False,24.279762
cuya,cuya,False,39.70817
levantándose,levantándose,False,18.429724
librarse,librarse,False,27.126375
echó,echó,False,38.263306
juntaos,Juntaos,False,0.0
cuclillas,cuclillas,False,17.188936
gritaron,gritaron,False,30.18303
zaquicaz,Zaquicaz,False,0.0
guardaos,guardaos,False,18.56729
abríanlas,abríanlas,False,0.0
suspenso,suspenso,False,18.617453
caminarán,caminarán,False,24.636282
pedazos,pedazos,False,24.478659
susfunciones,susfunciones,False,0.0
dor,dor,False,31.022871
sostener,sostener,False,25.615517
porque,porque,True,27.617891
entonces,entonces,True,19.120779
entre,entre,True,33.330948
antier,antier,False,20.730688
presentar,presentar,False,28.958666
regreso,regreso,False,22.878527
prisionero,prisionero,False,19.757597
formemos,formemos,False,26.231802
orador,orador,False,27.394094
tomemos,Tomemos,False,22.898111
lanzan,lanzan,False,30.496168
dosel,dosel,False,24.16658
dignidad,dignidad,False,28.756105
levante,levante,False,21.902542
pegado,pegado,False,26.6617
jóvenes,jóvenes,False,29.124529
ni,Ni,True,60.91776
moverse,moverse,False,27.830832
quilitz,quilitz,False,0.0
los,Los,True,75.698296
llegáron,llegáron,False,0.0
conversación,conversación,False,23.99781
médico,médico,False,32.856544
estuviera,estuviera,False,25.759708
salimos,salimos,False,26.551723
posteridad,posteridad,False,21.559456
derrotaron,derrotaron,False,29.971613
colorado,colorado,False,23.219404
labranza,labranza,False,19.791368
pecho,pecho,False,35.749287
adentros,adentros,False,21.820227
tienes,Tienes,False,27.031923
tercera,tercera,True,22.907612
alegrarónse,Alegrarónse,False,0.0
sustentará,sustentará,False,21.808496
sopla,sopla,False,26.532457
seas,seas,False,35.83764
ambas,ambas,False,35.45076
ucliabahá,Ucliabahá,False,0.0
fueras,fueras,False,26.120636
vacía,vacía,False,26.250467
punta,punta,False,30.490992
zumbaban,zumbaban,False,24.18044
espejo,espejo,False,25.717167
recomendaba,recomendaba,False,19.703047
distribuyeron,distribuyeron,False,22.315577
ojalá,ojalá,False,26.697155
sucede,sucede,False,23.030188
colgando,colgando,False,24.572939
dioses,dioses,False,30.616795
deseáis,deseáis,False,19.23006
ei,ei,False,62.26016
tamazul,Tamazul,False,0.0
bañaba,bañaba,False,23.794254
demonios,demonios,False,23.737135
dijo,Dijo,True,24.84023
llega,llega,False,31.647444
mujeres,mujeres,False,31.550539
salvarse,salvarse,False,28.47383
abra,abra,False,34.004063
reír,reír,False,34.995583
cavernas,cavernas,False,20.821165
emprender,emprender,False,26.585411
salió,Salió,False,24.360962
varas,varas,False,29.479408
claramente,claramente,False,26.35918
contemplaban,contemplaban,False,23.008463
extinguió,extinguió,False,20.602894
derrota,derrota,False,30.055088
cayalá,Cayalá,False,13.437197
así,así,True,36.68174
sacrificadores,sacrificadores,False,0.0
tierra,tierra,False,30.723324
quées,Quées,False,0.0
alumbra,alumbra,False,20.332306
viven,viven,False,37.63324
dividieran,dividieran,False,25.008108
sale,sale,False,34.78518
aconsejaron,aconsejaron,False,21.295317
existes,existes,False,24.655321
dador,dador,False,27.396313
pluma,pluma,False,25.39568
piel,piel,False,49.40807
cíelo,cíelo,False,0.0
alzaban,alzaban,False,31.780983
calor,calor,False,36.329803
cierto,cierto,True,23.638056
pared,pared,False,35.499947
contenido,contenido,False,28.30271
cortadas,cortadas,False,29.180264
daba,daba,False,44.730236
prodigioso,prodigioso,False,15.224654
educados,educados,False,29.340197
enes,enes,False,24.334623
m,m,False,96.2784
alto,alto,False,40.363216
caen,caen,False,35.24657
goma,goma,False,35.938374
aparecía,aparecía,False,26.061573
encolerizaban,encolerizaban,False,0.0
pobres,pobres,False,29.952242
encinal,encinal,False,0.0
afirme,afirme,False,26.837322
inundación,inundación,False,25.143732
mansión,mansión,False,25.607424
tomar,tomar,False,41.222355
tengamos,tengamos,False,30.08148
frente,Frente,False,36.77339
descender,descender,False,24.900993
puhuy,Puhuy,False,0.0
engañándolos,engañándolos,False,16.741838
parecía,parecía,False,29.03634
forma,forma,False,41.08092
volcán,volcán,False,31.359861
siguieron,siguieron,False,29.482971
ixbalanque,Ixbalanque,False,0.0
atáronle,Atáronle,False,0.0
