"Imagen principal","Tipo","Nombre","Nombre analítico","Ximenez spelling","Analytical name",""
"","objeto","Su'","SU'","zu","SU'","edit"
"","objeto","Mixkina","MIXKINA","mi xquina, mixquina","MIXKINA","edit"
"","objeto","Kaj","KAJ","cah","KAJ","edit"
"","objeto","Wachsot","WACHSOT","vach zot","WACHSOT","edit"
"","objeto","Yachwach","YACHWACH","iach vach","YACHWACH","edit"
"","objeto","Wub'","WUB","vb","WUB","edit"
"","objeto","Pach'q'ab'","PACHQ'AB'","pachcab","PACHQ'AB'","edit"
"","objeto","Tz'um","TZ'UM","q’uum","TZ'UM","edit"
"","objeto","B'ate","B'ATE","bate","B'ATE","edit"
"","objeto","Chaaj","CHAAJ","vleuh ri chaa, chaah","CHAAJ","edit"
"","objeto","Kik'","KIK'","quic","KIK'","edit"
"","topónimo","Kawinal","KAWINAL","cavinal","KAWINAL","edit"
"","topónimo","K'ulb'a","K'ULB'A","culba","K'ULB'A","edit"
"","topónimo","Jumeta Ja","JUMETA_JA","humetaha","JUMETA_JA","edit"
"","topónimo","Chi Chaq'","CHI_CHAQ'","chiq chac","CHI_CHAQ'","edit"
"","topónimo","Chi K'ix","CHI_K'IX","chiquix","CHI_K'IX","edit"
"","topónimo","México","MEXICO","Mexico","MEXICO","edit"
"","topónimo","Kunab'al Tojil","KUNAB'AL_TOJIL","cunabal tohil","KUNAB'AL_TOJIL","edit"
"","lugar","B'oqotajinaq Sanayeb'","B'OQOTAJINAQ_SANAYEB'","bocotahinac zanaieb","B'OQOTAJINAQ_SANAYEB'","edit"
"","lugar","Cholochik Ab'aj","CHOLOCHIK_AB'AJ","cholochic abah","CHOLOCHIK_AB'AJ","edit"
"","topónimo","Ik'oq'ij","IK'OQ'IJ","icoquih","IK'OQ'IJ","edit"
"","persona","Echave","ECHAVE","","ECHAVE","edit"
"","persona","Saint Thomas Aquinas","AQUINAS","","AQUINAS","edit"
"","persona","San Vicente Ferrer","FERRER","","FERRER","edit"
"","persona","Domingo","DOMINGO","","DOMINGO","edit"
"","deidad","Ch'amiya Jolom","CH'AMIYA_JOLOM","chamiaholom","CH'AMIYA_JOLOM","edit"
"","deidad","Kuchuma Kik'","KUCHUMA_KIK'","cuchumaquic","KUCHUMA_KIK'","edit"
"","deidad","Ch'amiya B'aq","CH'AMIYA_B'AQ","chamia bac","CH'AMIYA_B'AQ","edit"
"","persona","Fray Alonso de Noreña","NORENA","","NORENA","edit"
"","persona","Alonso de la Peña Montenegro","MONTENEGRO","","MONTENEGRO","edit"
"","persona","Fray Domingo de Vico","DOMINGO_DE_VICO","","DOMINGO_DE_VICO","edit"
"","persona","Su Majestad","SU_MAJESTAD","","SU_MAJESTAD","edit"
"","persona","Fray Juan de San José","FRAY_JUAN_DE_SAN_JOSE","","FRAY_JUAN_DE_SAN_JOSE","edit"
"","persona","Antonio de Remesal","REMESAL","","REMESAL","edit"
"","persona","Juan Ginés de Sepúlveda","SEPULVEDA","","SEPULVEDA","edit"
"","persona","Bartolomé de las Casas","LAS_CASAS","","LAS_CASAS","edit"
"","persona","Apóstol Santiago","SANTIAGO","","SANTIAGO","edit"
"","deidad","Jun Tijax","JUN_TIJAX","","JUN_TIJAX","edit"
"","persona","San Juan Bautista","SAN_JUAN_BAUTISTA","","SAN_JUAN_BAUTISTA","edit"
"","deidad","Xōchiquetzal","XOCHIQUETZAL","","XOCHIQUETZAL","edit"
"","topónimo","Chuwa Tz'aq","CHUWA_TZ'AQ","chuvatzac","CHUWA_TZ'AQ","edit"
"","persona","María","MARIA","","MARIA","edit"
"","deidad","Satanás","SATANAS","","SATANAS","edit"
"","persona","San Pablo","SAN_PABLO","","SAN_PABLO","edit"
"","deidad","Espíritu Santo","ESPIRITU_SANTO","","ESPIRITU_SANTO","edit"
"","deidad","Jesucristo","JESUCRISTO","","JESUCRISTO","edit"
"","deidad","Dios","DIOS","","DIOS","edit"
"","persona","Carlos V","CARLOS_V","","CARLOS_V","edit"
"","topónimo","La isla española","LA_ISLA_ESPANOLA","","LA_ISLA_ESPANOLA","edit"
"","persona","Pedro Apiano","PEDRO_APIANO","","PEDRO_APIANO","edit"
"","linaje","Orden de Predicadores","ORDEN_DE_PREDICADORES","","ORDEN_DE_PREDICADORES","edit"
"","lugar","Chichicastenango","CHICHICASTENANGO","","CHICHICASTENANGO","edit"
"","persona","R.P.F. (Reverendo Padre Fray) Francisco Ximénez","XIMENEZ","","XIMENEZ","edit"
"","topónimo","Puj chi ja'","PUJ_CHI_JA'","puch chi a","PUJ_CHI_JA'","edit"
"","topónimo","Ja' Simaj","JA'_SIMAJ","ha zimah","JA'_SIMAJ","edit"
"","topónimo","Motz","MOTZ","omuch qaholab, moꜩ","MOTZ","edit"
"","topónimo","Julisnab'","JULISNAB'","huliznab","JULISNAB'","edit"
"","topónimo","Makamob'","MAKAMOB'","macamob","MAKAMOB'","edit"
"","topónimo","Ya'xkanul","YA'XKANUL","ya xcanul","YA'XKANUL","edit"
"","topónimo","Chi q'aq'","CHI_Q'AQ'","chicac","CHI_Q'AQ'","edit"
"","topónimo","Pek ul ya'","PEK_UL_YA'","pe cul","PEK_UL_YA'","edit"
"","topónimo","Junajpu Juyub'","JUNAJPU_JUYUB'","hunahpu","JUNAJPU_JUYUB'","edit"
"","topónimo","Tinamit K'iche'","TINAMIT_K'ICHE'","tinamit quiche","TINAMIT_K'ICHE'","edit"
"","deidad","Uk'u'x Ulew","UK'U'X_ULEW","cah vlew, xqux vleu","UK'U'X_ULEW","edit"
"","topónimo","Santa Cruz","SANTA_CRUZ","Sta. Cruz","SANTA_CRUZ","edit"
"","linaje","Kajib' unim ja","KAJIB'_UNIM_JA","cahib chi nimha","KAJIB'_UNIM_JA","edit"
"","persona","Winaq B'alam (gen. 9)","WINAQ_B'ALAM_AKNUEVE","Vínac bam","WINAQ_B'ALAM_AKNUEVE","edit"
"","persona","K'oyabakoj (gen. 8)","K'OYABAKOJ_AKOCHO","Coyabacoh","K'OYABAKOJ_AKOCHO","edit"
