folio|side|para_num|lb|lb_str|lb_str_plain
2|2|6|3|"aturas de el monte, <rs ana=""KEJ"">el venado</rs>, <rs ana=""TZ'IKIN"">el paxaro</rs>, <rs ana=""KOJ"">el"|aturas de el monte, el venado, el paxaro, el
2|2|6|4|"leon</rs>, <rs ana=""B'ALAM"">el tigre</rs>, <rs ana=""KUMATZ"">la culebra</rs>, <rs ana=""SOCHOJ"">la vívora</rs>, <rs ana=""K'ANTI'"">el cantí</rs>"|leon, el tigre, la culebra, la vívora, el cantí
2|2|6|5|"guardas de los mecates. y dixo <rs ana=""ALOM""><rs ana=""K'AJOLOM"">el criador</rs></rs> sí"|guardas de los mecates. y dixo el criador sí
2|2|6|6|solo hā de estar en sílenzío, o an de estar en|solo hā de estar en sílenzío, o an de estar en
2|2|6|7|"suspension debaxo de los palos, y mecates<hi rend=""sup"">2</hi>[sic]<unclear reason=""superscripted 2 does not have a note in the margins"" instant=""false""></unclear><note resp=""editor"">It could be the start of a ? that Ximénez decided not to finish, although this is less likely given the context of the passage</note> y so"|suspension debaxo de los palos, y mecates2[sic]It could be the start of a ? that Ximénez decided not to finish, although this is less likely given the context of the passage y so
2|2|6|8|"lo ha de estar bueno el <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>aiga quien los guar<pc> –</pc>"|lo ha de estar bueno el q’queaiga quien los guar–
2|2|6|9|"de; dixeron <choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> lo consultaron, y parlaron"|de; dixeron qoquando lo consultaron, y parlaron
2|2|6|10|"y luego fueron produzidos <rs ana=""KEJ"">venados</rs>, y <rs ana=""TZ'IKIN"">paxa<pc> –</pc>"|y luego fueron produzidos venados, y paxa–
2|2|6|11|ros</rs>, y entonzes les repartieron sus casas|ros, y entonzes les repartieron sus casas
2|2|6|12|"a<rs ana=""KEJ"">los venados</rs>, y a <rs ana=""TZ'IKIN"">los pajaros</rs>. tu <rs ana=""KEJ"">venado</rs> en"|alos venados, y a los pajaros. tu venado en
2|2|6|13|los caminos de el agua; y en las varrancas|los caminos de el agua; y en las varrancas
2|2|6|14|dormíreís. aqui estaras, en la paja, y en las|dormíreís. aqui estaras, en la paja, y en las
2|2|6|15|yervas, en el monte de multíplícaras. en|yervas, en el monte de multíplícaras. en
2|2|6|16|cuatro pies andaras, y en cuatro pies te pa<pc> –</pc>|cuatro pies andaras, y en cuatro pies te pa–
2|2|6|17|"raras les fue dícho <choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> seles afírmo su mora"|raras les fue dícho qoquando seles afírmo su mora
2|2|6|18|"da. a los grandes, y pequeños <rs ana=""TZ'IKIN"">paxaros</rs>. voso<pc> –</pc>"|da. a los grandes, y pequeños paxaros. voso–
2|2|6|19|"tros, vosotros <rs ana=""TZ'IKIN"">paxaros</rs> sobre los palos, y me"|tros, vosotros paxaros sobre los palos, y me
2|2|6|20|cates hareís casas, y habitazíon, y allí mul<pc> –</pc>|cates hareís casas, y habitazíon, y allí mul–
2|2|6|21|típlícareís, os sacudíreís sobre las ramas de|típlícareís, os sacudíreís sobre las ramas de
2|2|6|22|"los palos, y mecates les fue dicho a<rs ana=""KEJ"">los ve<pc> –</pc>"|los palos, y mecates les fue dicho alos ve–
2|2|6|23|"nados</rs> y<rs ana=""TZ'IKIN"">pa xaros</rs> <choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> hizieron sus obras. to<pc> –</pc>"|nados ypa xaros qoquando hizieron sus obras. to–
2|2|6|24|dos tomaron sus dormitorios, y sus habita|dos tomaron sus dormitorios, y sus habita
2|2|6|25|ziones. y así seles dio la tierra por casa|ziones. y así seles dio la tierra por casa
2|2|6|26|"por <rs ana=""ALOM""><rs ana=""K'AJOLOM"">el criador</rs></rs>. y ya estando acabados"|por el criador. y ya estando acabados
2|2|6|27|"todos <rs ana=""KEJ"">los venados</rs> y <rs ana=""TZ'IKIN"">paxaros</rs>"|todos los venados y paxaros
2|2|7|28|"<hi rend=""large"">E</hi>ntonzes seles dixo otra vez por <rs ana=""TZ'AQOL"">el criador</rs>"|Entonzes seles dixo otra vez por el criador
2|2|7|29|"y <rs ana=""B'ITOL"">formador</rs> a<rs ana=""KEJ"">los venados</rs>, y a<rs ana=""TZ'IKIN"">las aves</rs>: ha"|y formador alos venados, y alas aves: ha
2|2|7|30|blad, gritad, nohagaís íol, íol. no gríteís.|blad, gritad, nohagaís íol, íol. no gríteís.
2|2|7|31|hablad cadavno en su espeçie, en cada|hablad cadavno en su espeçie, en cada
2|2|7|32|"diferencia, seles fue dicho a<rs ana=""KEJ"">los venados</rs>"|diferencia, seles fue dicho alos venados
2|2|7|33|"y <rs ana=""TZ'IKIN"">pajaros</rs>, a<rs ana=""KOJ"">los leones</rs>, <rs ana=""B'ALAM"">tígres</rs>, y <rs ana=""KUMATZ"">culebras</rs>"|y pajaros, alos leones, tígres, y culebras
2|2|7|34|dezíd nuestro nombre, alabadnos, dezid|dezíd nuestro nombre, alabadnos, dezid
2|2|7|35|"<choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>somos vuestras <rs ana=""ALOM"">madres</rs>, y vuestros <rs ana=""K'AJOLOM"">Padres</rs>."|q’quesomos vuestras madres, y vuestros Padres.
