ana_id,n_annotated,surface_form,form_length
KAJIB'_UNIM_JA,5,chicahibcut nimha,2
KAK'IXA_JA',2,caquixaha,1
KAK'IXA_JA',2,caquixha,1
KAKAW,2,caco,1
KAKAW,2,cacou,1
KAMALOTZ',1,camalotz,1
KANCHAJELEB',1,canchahe leb,2
KAQA_B'E,2,ca ca be,3
KAQA_B'E,2,q'aq'abe,1
KAQA_PALO_JA',2,caha paluna,2
KAQA_PALO_JA',2,eaha paluna,2
KAQCHIKELEB',13,ca echequeleb,2
KAQCHIKELEB',13,caechequeleb,1
KAQCHIKELEB',13,caechi queleb,2
KAQCHIKELEB',13,q'aq'che queleb,2
KAQCHIKELEB',13,q'aq'chequeleb,1
KAQIX_TUKUR,2,caquix tucur,2
KAQUILJA_JUN_RAQAN,1,caculha huracan,2
KAR,5,car,1
KAWEQ,20,ca ui quib,3
KAWEQ,20,ca vec,2
KAWEQ,20,caui quib,2
KAWEQ,20,cauiquib,1
KAWEQ,20,cavec queche vinac,3
KAWEQ,20,cavi quib,2
KAWEQ,20,caviquib,1
KAWEQ,20,caviquib quiche,2
KAWEQ,20,chica uiquib,2
KAWEQ,20,coaui quib,2
KAWEQ,20,quiche ahau,2
KAWEQ,20,v mam,2
KAWEQ,20,vcahau,1
KAWINAL,1,cavinal,1
KAWISIMAJ_KQSIETE,9,cauizimah,1
KAWISIMAJ_KQSIETE,9,cavizimah,1
KAWKEB',1,caoqueb,1
KAXKON,1,caxcon,1
KE'EMA,1,queema,1
KE'EMA_NJDIEZ,1,q uema chuqhax,3
KEJ,24,cahaual queh,2
KEJ,24,qu eh,2
KEJ,24,queh,1
KEJ,24,quieh,1
KIK',42,ca quic,2
KIK',42,chiquic,1
KIK',42,qui quel,2
KIK',42,quic,1
KIK',42,quiq,1
KIK',42,quiquel,1
KIK',42,v quiquel,2
KIK',42,v quixic,2
KIK',42,vquiquel,1
KIK'_RE,4,quic re,2
KIK'_RE,4,quic xic,2
KIK'_RE,4,roxlahuh culel,2
KIK'_RIXK'AQ,3,quic ri xcac,3
KIK'_RIXK'AQ,3,vcah lahuh culel,3
KIK'_RIXK'AQ,3,vquic xic rixcac,3
KIK'_YA',2,chiquiquia,1
KIK'_YA',2,quiquia,1
KINAQ',1,qui nac,2
KOJ,10,coh,1
KOJ,10,qoh,1
KOMAJKUN_AKCINCO,1,comahcun,1
