seq_id|ana_id
362|junajpu
363|xb'alamq'e
364|ka'ib'_k'ajolab'
365|motz
366|sipakna
367|kar
368|tap
369|junajpu
370|xb'alamq'e
371|mak_ek'
372|mak_ek'
373|tap
374|tap
375|me'awan
376|ka'ib'_k'ajolab'
377|sipakna
378|sipakna
379|sipakna
380|ka'ib'_k'ajolab'
381|sipakna
382|kar
383|tap
384|sipakna
385|junajpu
386|xb'alamq'e
387|tap
388|junajpu
389|xb'alamq'e
390|ka'ib'_k'ajolab'
391|sipakna
392|junajpu
393|xb'alamq'e
394|ka'ib'_k'ajolab'
395|tz'ikin
396|wub
397|sipakna
398|ka'ib'_k'ajolab'
399|sipakna
400|sipakna
401|tap
402|sipakna
403|kar
404|sipakna
405|sipakna
406|ka'ib'_k'ajolab'
407|junajpu
408|xb'alamq'e
409|sipakna
410|wuqub'_kaqix
411|me'awan
412|kab'raqan
413|kab'raqan
414|wuqub'_kaqix
415|kab'raqan
416|junajpu
417|ixb'alamq'e
418|kab'raqan
419|jun_raqan
420|ch'ipi_kaqulja
421|raxa_kaqulja
422|junajpu
423|ixb'alamq'e
424|kab'raqan
425|wuqub'_kaqix
426|jun_raqan
427|ka'ib'_k'ajolab'
428|jun_raqan
429|uk'u'x_kaj
430|ka'ib'_k'ajolab'
431|jun_raqan
432|kab'raqan
433|ka'ib'_k'ajolab'
434|kab'raqan
435|kab'raqan
436|kab'raqan
437|junajpu
438|xb'alamq'e
439|kab'raqan
440|wub
441|tz'ikin
442|kab'raqan
443|junajpu
444|xb'alamq'e
445|kab'raqan
446|junajpu
447|xb'alamq'e
448|ka'ib'_k'ajolab'
449|wub
450|tz'ikin
451|wub
452|wub
453|wub
454|b'aq
455|wub
456|tz'ikin
457|wub
458|kab'raqan
459|b'aq
460|ka'ib'_k'ajolab'
461|tz'ikin
462|tz'ikin
463|tz'ikin
464|tz'ikin
465|tz'aqol
466|b'itol
467|ka'ib'_k'ajolab'
468|kab'raqan
469|junajpu
470|xb'alamq'e
471|tz'ikin
472|tz'ikin
473|kab'raqan
474|tz'ikin
475|tz'ikin
476|kab'raqan
477|tz'ikin
478|kab'raqan
479|tz'ikin
480|ka'ib'_k'ajolab'
481|ka'ib'_k'ajolab'
482|kab'raqan
483|junajpu
484|xb'alamq'e
485|junajpu
486|xb'alamq'e
487|wuqub'_kaqix
488|sipakna
489|kab'raqan
490|junajpu
491|xb'alamq'e
492|junajpu
493|xb'alamq'e
494|jun_junajpu
495|jun_junajpu
496|xpiyakok
497|ixmukane
498|jun_junajpu
499|wuqub'_junajpu
500|xpiyakok
501|ixmukane
502|jun_junajpu
503|ka'ib'_k'ajolab'
504|ka'ib'_k'ajolab'
505|jun_b'atz
506|jun_chowen
507|ixb'aqiyalo
508|ixb'aqiyalo
509|jun_junajpu
510|wuqub'_junajpu
511|jun_b'atz
512|jun_chowen
513|jun_junajpu
514|su'
515|jun_b'atz
516|jun_chowen
517|jun_junajpu
518|wuqub'_junajpu
519|chaaj
520|jom
521|wok
522|jun_raqan
523|ch'ipi_kaqulja
524|raxa_kaqulja
525|wok
526|xib'alb'a
527|jun_raqan
528|ixb'aqiyalo
529|jun_b'atz
530|jun_chowen
531|xib'alb'a
532|chaaj
533|jun_kame'
534|wuqub'_kame'
535|rajawal_xib'alb'a
536|chaaj
537|rajawal_xib'alb'a
538|rajawal_xib'alb'a
539|jun_kame'
540|wuqub'_kame'
541|rajawal_xib'alb'a
542|rajawal_xib'alb'a
543|jun_kame'
544|wuqub'_kame'
545|xikiripat
546|kuchuma_kik'
547|ajal_puj
548|ajal_q'ana
549|rajawal_xib'alb'a
550|chuq'anal
551|ajal_puj
552|ajal_q'ana
553|ch'amiya_baq
554|ch'amiya_jolom
555|xib'alb'a
556|ch'amiya_baq
557|ch'amiya_jolom
558|ajal_mes
559|ajal_toq'ob
560|patan
561|ajal_mes
562|ajal_toq'ob
563|ajaw_xik
564|patan
565|patan
566|ajaw_xik
567|patan
568|jun_junajpu
569|wuqub'_junajpu
570|xib'alb'a
571|jun_junajpu
572|wuqub'_junajpu
573|tz'um
574|b'ate
575|pach_q'ab'
576|yachwach
577|wach_sot
578|wub
579|jun_junajpu
580|wuqub'_junajpu
