folio_num,side,lb_num,para_num,line_str
6,verso,5,11,"huyub rumal, xaui quehe"
6,verso,6,11,nimarizabal quib xquiba-
6,verso,7,11,no vqahol vvcub caquix
6,verso,8,11,"ixva, in quih xqha vucub"
6,verso,9,11,"caquix inva, in banol vleu"
6,verso,10,11,"xqha ri zipacna, in chicut"
6,verso,11,11,quiyou cah chinvlih rono-
6,verso,12,11,hel vleu xqhari cabracan
6,verso,13,11,xavi vqahol vvcub caquix
6,verso,14,11,xaui chiri xquicam vi qui-
6,verso,15,11,nimal chirih qui cahau are
6,verso,16,11,"cut itzel xquil vi qaholab,"
6,verso,17,11,maha chibantahoc canabe
6,verso,18,11,chuch canabe cahau quehe
6,verso,19,11,cut xnohix vi qui camic qui
6,verso,20,11,zachic cumal qaholab.
