folio|side|para|lb|lb_n|lb_str|lb_str_plain
2|2|7|34|34|"<rs ana=""TZ'IKIN"">ꜩiquin</rs> rumal <rs ana=""TZ'AQOL"">ꜩacol</rs> <rs ana=""B'ITOL"">bitol</rs> <rs ana=""ALOM"">a<pc> –</pc>"|tziquin rumal tzacol bitol a–
2|2|7|35|35|"lom</rs>, <rs ana=""K'AJOLOM"">qaholom</rs>: quixqhauoc ,"|lom, qaholom: quixqhauoc ,
2|2|7|36|36|quixziquinoc mi xyonoliqui<pc> –</pc>|quixziquinoc mi xyonoliqui–
2|2|7|37|37|nic, mixziquinic, quixqha va he|nic, mixziquinic, quixqha va he
2|2|7|38|38|tah chi huhunal, chu hutac chobil|tah chi huhunal, chu hutac chobil
2|2|7|39|39|chi hutac molahil, xevqhaxic|chi hutac molahil, xevqhaxic
2|2|7|40|40|"ri <rs ana=""KEJ"">queh</rs> <rs ana=""TZ'IKIN"">ꜩiquin</rs> <rs ana=""KOJ"">qoh</rs>, <rs ana=""B'ALAM"">balam</rs>"|ri queh tziquin qoh, balam
2|2|7|41|41|"<rs ana=""KUMATZ"">cumaꜩ</rs>, chibÿhnacut ri ca bi"|cumatz, chibihnacut ri ca bi
2|2|7|42|42|"cohicaharizah, oh <rs ana=""ALOM"">ichuch</rs>, oh"|cohicaharizah, oh ichuch, oh
2|2|7|43|43|"<rs ana=""K'AJOLOM"">icahau</rs> quiqha va na cut, <rs ana=""JUN_RAQAN"">hu<pc> –</pc>"|icahau quiqha va na cut, hu–
2|2|7|44|44|"racan</rs>, <rs ana=""CH'IPI_KAQULJA"">chipi caculha</rs>, <rs ana=""RAXA_KAQULJA"">raxa"|racan, chipi caculha, raxa
2|2|7|45|45|"caculha</rs>, <rs ana=""UK'U'X_KAJ"">vqux cah</rs>, <rs ana=""UK'U'X_ULEW"">vquxvle<pc> –</pc>"|caculha, vqux cah, vquxvle–
2|2|7|46|46|"uh</rs>, <rs ana=""TZ'AQOL"">ꜩacol</rs>, <rs ana=""B'ITOL"">bitol</rs>, <rs ana=""ALOM"">alom</rs> <rs ana=""K'AJOLOM"">qaholõ</rs>"|uh, tzacol, bitol, alom qaholõ
3|1|7|1|1|quixqhaoc cohiziquih, cohiqui<pc> –</pc>|quixqhaoc cohiziquih, cohiqui–
3|1|7|2|2|hila, xevqhaxic. macu xuꜩinic|hila, xevqhaxic. macu xutzinic
3|1|7|3|3|xeqhauic, queheta ri vinac, xa|xeqhauic, queheta ri vinac, xa
3|1|7|4|4|quevachelahic, xa quecaralahic|quevachelahic, xa quecaralahic
3|1|7|5|5|xa quevohonic; mavi xvachinic|xa quevohonic; mavi xvachinic
3|1|7|6|6|v vach qui qhabal, halahoh xco<pc> –</pc>|v vach qui qhabal, halahoh xco–
3|1|7|7|7|quibeh chi qui huhunal. ta xqui|quibeh chi qui huhunal. ta xqui
3|1|7|8|8|"ta ri <rs ana=""TZ'AQOL"">ꜩacol</rs> <rs ana=""B'ITOL"">bitol</rs> maui mi xu<pc> –</pc>"|ta ri tzacol bitol maui mi xu–
3|1|7|9|9|ꜩinic, mi xeqhauic, xeqha chic|tzinic, mi xeqhauic, xeqha chic
3|1|7|10|10|qui bil quib maui mixuꜩin v|qui bil quib maui mixutzin v
3|1|7|11|11|bixic cabi rumal oh cah ꜩac|bixic cabi rumal oh cah tzac
3|1|7|12|12|oh pu cah bit mavi vꜩ xqha|oh pu cah bit mavi vtz xqha
3|1|7|13|13|"chic chiquibil quib ri <rs ana=""ALOM"">alom</rs> <rs ana=""K'AJOLOM"">qa<pc> –</pc>"|chic chiquibil quib ri alom qa–
3|1|7|14|14|holom</rs>, xevqhax cut xa|holom, xevqhax cut xa
3|1|7|15|15|quixhalatahic rumal maui|quixhalatahic rumal maui
