entity_id,edition,ohco_path,ngram,ngram_len,match_type,label,type
CHI_ISMACHI',christenson,7734,tinamit,1,exact,Chi Ismachi',topónimo
IXTAJ_IXPUCH',christenson,7748,mi'al.,1,fuzzy,Ixtaj Ixpuch',grupo de deidades
B'AQ,christenson,7755,"B'aq,",1,exact,B'aq,objeto
JOLOM,christenson,7756,jolom,1,exact,Jolom,objeto
IXTAJ_IXPUCH',christenson,7762,Mi'al.,1,fuzzy,Ixtaj Ixpuch',grupo de deidades
CHI_ISMACHI',christenson,7766,tinamit.,1,exact,Chi Ismachi',topónimo
CHI_ISMACHI',christenson,7770,tinamit,1,exact,Chi Ismachi',topónimo
Q'UMARKAJ,christenson,7770,Q'umarkaj.,1,exact,Q'umarkaj,topónimo
SOR_OBISPO,christenson,7772,Sor. obispo,2,exact,Sor. Obispo,persona
CHI_ISMACHI',christenson,7773,tinamit,1,exact,Chi Ismachi',topónimo
KA',christenson,7774,K'a,1,fuzzy,Ka',objeto
CHI_Q'AQ',christenson,7780,chi q'aq'.,2,exact,Chi q'aq',topónimo
AJAW_K'ICHE',christenson,7785,"Ajaw K'iche',",2,exact,Ajaw K'iche',linaje
WA,christenson,7798,wa':,1,fuzzy,Wa,objeto
AJ,christenson,7799,Aj,1,exact,Aj,objeto
AJ,christenson,7800,Aj,1,exact,Aj,objeto
AJ,christenson,7801,Aj,1,exact,Aj,objeto
TOJIL,christenson,7801,"Tojil,",1,exact,Tojil,deidad
AJ,christenson,7802,Aj,1,exact,Aj,objeto
Q'UKUMATZ,christenson,7802,Q'ukumatz;,1,exact,Q'ukumatz,deidad
NIM_CH'OKOJ_KAWEQ,christenson,7803,"Nim Ch'okoj Kaweq,",3,exact,Nim Ch'okoj Kaweq,oficio
POPOL_WINAQ_CHI_T'UY,christenson,7804,Popol Winaq chi T'uy;,4,exact,Popol Winaq chi T'uy,oficio
KEJ,christenson,7805,Kej,1,exact,Kej,animal
JOM,christenson,7806,Jom,1,exact,Jom,lugar
ALOM,christenson,7807,Chuch,1,exact,Alom,deidad
WA,christenson,7812,wa',1,fuzzy,Wa,objeto
WA,christenson,7813,wa':,1,fuzzy,Wa,objeto
AJAW_Q'ALEL,christenson,7814,"Ajaw Q'alel,",2,exact,Ajaw Q'alel,oficio
AJ,christenson,7815,Aj,1,exact,Aj,objeto
Q'ALEL,christenson,7816,Q'alel,1,exact,Q'alel,oficio
ALOM,christenson,7818,Chuch,1,exact,Alom,deidad
NIM_CH'OKOJ,christenson,7819,Nim Ch'okoj,2,exact,Nim Ch'okoj,oficio
AWILIX,christenson,7820,"Awilix,",1,exact,Awilix,deidad
YAKOLATAM,christenson,7821,Yakolatam,1,exact,Yakolatam,persona
AJAW_K'ICHE',christenson,7824,Ajaw K'iche',2,exact,Ajaw K'iche',linaje
WA,christenson,7824,wa'.,1,fuzzy,Wa,objeto
AJ,christenson,7826,Aj,1,exact,Aj,objeto
AJAW_LOLMET,christenson,7827,"Ajaw Lolmet,",2,exact,Ajaw Lolmet,persona
AJAW_NIM_CH'OKOJ,christenson,7828,Ajaw Nim Ch'okoj,3,exact,Ajaw Nim Ch'okoj,persona
AJAW_K'ICHE',christenson,7828,"Ajaw [K'iche'],",2,exact,Ajaw K'iche',linaje
AJAW_JAQAWITZ,christenson,7829,Ajaw Jaq'awitz.,2,fuzzy,Ajaw Jaqawitz,persona
Q'ALEL_SAQIK,christenson,7835,Q'alel Saqik.,2,exact,Q'alel Saqik,oficio
CHI_ISMACHI',christenson,7849,Tinamit.,1,exact,Chi Ismachi',topónimo
AJ,christenson,7881,aj,1,exact,Aj,objeto
AJ,christenson,7882,Aj,1,exact,Aj,objeto
CHI_ISMACHI',christenson,7882,tinamit,1,exact,Chi Ismachi',topónimo
KA',christenson,7885,K'a,1,fuzzy,Ka',objeto
CHI_ISMACHI',christenson,7888,tinamit.,1,exact,Chi Ismachi',topónimo
KA',christenson,7889,K'a,1,fuzzy,Ka',objeto
Q'UKUMATZ,christenson,7891,"Q'ukumatz,",1,exact,Q'ukumatz,deidad
Q'UKUMATZ,christenson,7894,Q'ukumatz,1,exact,Q'ukumatz,deidad
KAJ,christenson,7895,"kaj,",1,exact,Kaj,objeto
XIB'ALB'A,christenson,7896,Xib'alb'a;,1,exact,Xib'alb'a,lugar
KUMATZ,christenson,7898,kumatz,1,exact,Kumatz,animal
K'OTAL,christenson,7899,"kotal,",1,fuzzy,K'otal,animal
B'ALAM,christenson,7902,b'alam,1,exact,B'alam,animal
KIK'EL,christenson,7903,"kik'el,",1,exact,Kik'el,objeto
KIK',christenson,7904,kik',1,exact,Kik',objeto
Q'UKUMATZ,christenson,7918,"Q'ukumatz,",1,exact,Q'ukumatz,deidad
