entity_id,label,type,lang,form
CH'AB'I_TUKUR,Ch'ab'i Tukur,deidad,eng,ARROW OWL
CH'AB'I_TUKUR,Ch'ab'i Tukur,deidad,spa,SAETA TECOLOTE
CH'ABI_Q'AQ',Ch'ab'iq'aq',topónimo,quc,CH'AB'IQ'AQ'
CH'ABI_Q'AQ',Ch'ab'iq'aq',topónimo,quc,CH'ABI Q'AQ'
CH'ABI_Q'AQ',Ch'ab'iq'aq',topónimo,eng,ARROW FIRE
CH'ABI_Q'AQ',Ch'ab'iq'aq',topónimo,spa,CHABÍCAC
CH'AMIYA_B'AQ,Ch'amiya B'aq,deidad,quc,CH'AMIYA B'AQ
CH'AMIYA_B'AQ,Ch'amiya B'aq,deidad,eng,STAFF BONE
CH'AMIYA_B'AQ,Ch'amiya B'aq,deidad,spa,CHAMIA BAC
CH'AMIYA_JOLOM,Ch'amiya Jolom,deidad,quc,CH'AMIYA JOLOM
CH'AMIYA_JOLOM,Ch'amiya Jolom,deidad,eng,SKULL STAFF
CH'AMIYA_JOLOM,Ch'amiya Jolom,deidad,spa,CHAMÍA HOLOM
CH'ATAM_ULEW,Ch'atam Ulew,lugar,quc,CH'ATAM ULEW
CH'ATAM_ULEW,Ch'atam Ulew,lugar,eng,LEVELED EARTH
CH'ATAM_ULEW,Ch'atam Ulew,lugar,spa,"CHATAM ULEU, TÍERRA HECHA CAMA"
CH'IPI_KAQULJA,Ch'ipi Kaqulja,deidad,quc,CH'IPI KAQULJA
CH'IPI_KAQULJA,Ch'ipi Kaqulja,deidad,eng,YOUNGEST THUNDERBOLT
CH'IPI_KAQULJA,Ch'ipi Kaqulja,deidad,spa,CHÍPA CACULHA
CH'IPI_NANAWAK,Ch'ipi Nanawak,deidad,quc,CH'IPI NANAWAK
CH'IPI_NANAWAK,Ch'ipi Nanawak,deidad,eng,YOUNGEST NANAVAC
CH'IPI_NANAWAK,Ch'ipi Nanawak,deidad,spa,CHÍPÍNA NAVAC
CH'ITIK,Ch'itik,danza,quc,CH'ITIK
CH'ITIK,Ch'itik,danza,eng,THE INJURY
CH'ITIK,Ch'itik,danza,spa,DE CHITÍC
CH'O,Ch'o,animal,quc,CH'O
CH'O,Ch'o,animal,eng,RAT
CH'O,Ch'o,animal,spa,EL RATÓN
CH'U'J_KAQ_CHE',Ch'u'j Kaq Che',objeto,quc,CH'U'J KAQ CHE'
CH'U'J_KAQ_CHE',Ch'u'j Kaq Che',objeto,eng,SACRIFICE RED TREE
CH'U'J_KAQ_CHE',Ch'u'j Kaq Che',objeto,spa,PALO COLORADO
CHAAJ,Chaaj,objeto,quc,CHAAJ
CHAAJ,Chaaj,objeto,eng,BALL GAME
CHAAJ,Chaaj,objeto,eng,BALL
CHAAJ,Chaaj,objeto,spa,JUGAR A LA PELOTA
CHAJAL_ECHA',Chajal echa',grupo de deidades,quc,CHAJAL ECHA'
CHAJAL_ECHA',Chajal echa',grupo de deidades,eng,GUARDIANS OF THE FOOD
CHAJAL_ECHA',Chajal echa',grupo de deidades,spa,AL Q' GUARDA EL BASTÍMENTO
CHAMALKAN,Chamalkan,deidad,quc,CHAMALKAN
CHAMALKAN,Chamalkan,deidad,eng,CHAMAL CAN
CHAMALKAN,Chamalkan,deidad,spa,CHAMALCAN
CHAMCHAM,Chamcham,objeto,quc,CHAMCHAM
CHAMCHAM,Chamcham,objeto,eng,DRUM
