chap_num,line_num,eng_str,quc_str
4,325,"In their branches bushes,”","Chuq'ab' k'a'am,”"
4,326,"They were told deer,","Xe'uchaxik kiej,"
4,327,Birds.,Tz'ikin.
4,328,When they did it,Ta xkib'ano
4,329,"Their deed,","Ki b'anoj,"
4,330,"Everything received its sleeping place,","Ronojel xuk'amo u warab'al,"
4,331,Its resting place.,U yakalib'al.
4,332,Thus their homes,Keje' k'ut kochoch wi
4,333,Animals the earth.,Chikop ri ulew.
4,334,"They gave it,","Xuya'o,"
4,335,"She Who Has Borne Children,","Alom,"
4,336,He Who Has Begotten Sons.,K'ajolom.
4,337,It had been completed then everything,Xutzininaqa chik ronojel
4,338,"The deer,","Ri kiej,"
4,339,Birds.,Tz'ikin.
5,340,"THEN it was said to again therefore the deer,","TA xe'uchax chi k'ut ri kiej,"
5,341,Birds,Tz'ikin
5,342,"By Framer,","Rumal Tz'aqol,"
5,343,"Shaper,","B'itol,"
5,344,"She Who Has Borne Children,","Alom,"
5,345,"He Who Has Begotten Sons,","K'ajolom,"
5,346,“Speak!,“Kixch'awoq!
5,347,Call!,Kixsik'inoq!
5,348,"Don't moan,","Mixyonolikinik,"
5,349,Don't cry out.,Mixsik'inik.
5,350,Let there be speech,Kixch'awajetaj
5,351,"Each to each,","Chi jujunal,"
5,352,"In each order,","Chi ju taq ch'ob'il,"
5,353,"In each group,”","Chi ju taq molajil,”"
5,354,"They were told the deer,","Xe'uchaxik ri kiej,"
5,355,"Birds,","Tz'ikin,"
5,356,"Pumas,","Koj,"
5,357,"Jaguars,","B'alam,"
5,358,"Serpents,","Kumatz,"
5,359,“Speak surely therefore the our names.,“Chib'ij na k'ut ri qa b'i'.
5,360,"Worship us,","Kojiq'ijarisaj,"
5,361,"We your mother,","Oj i chuch,"
5,362,We your father.,Oj i qajaw.
5,363,You say this surely therefore:,Kixcha' wa' na k'ut:
5,364,"‘Huracan,","‘Juraqan,"
5,365,"Youngest Thunderbolt,","Ch'i'pi Kaqulja,"
5,366,"Sudden Thunderbolt,","Raxa Kaqulja,"
5,367,"Its Heart Sky,","U K'u'x Kaj,"
5,368,"Its Heart Earth,","U K'u'x Ulew,"
5,369,"Framer,","Tz'aqol,"
5,370,"Shaper,","B'itol,"
5,371,"She Who Has Borne Children,","Alom,"
5,372,He Who Has Begotten Sons.’,K'ajolom.’
5,373,Speak!,Kixch'awoq!
5,374,Call upon us!,Kojisik'ij!
5,375,Worship us!” they were told.,Kojiq'ijila'!” xe'uchaxik.
5,376,"Not therefore they succeeded,","Ma k'u xutzinik,"
5,377,They spoke not like then people.,Xech'awik keje' ta ri' winaq.
5,378,"Merely they squawk,","Xa kewech'elajik,"
5,379,"Merely they chatter,","Xa kek'aralajik,"
5,380,Merely they roar.,Xa kewojonik.
5,381,Not appeared its face their speech,Mawi xwachinik u wach ki ch'ab'al.
5,382,"Differently they cried out to each other when they heard it, Jalajoj xkoq'ib'ej chi ki jujunal ta xkita,",nan
5,383,"The Framer,","Ri Tz'aqol,"
5,384,Shaper:,B'itol:
