line_num,spa_str,quc_str,line_marker
336,He Who Has Begotten Sons.,K'ajolom.,
337,It had been completed then everything,Xutzininaqa chik ronojel,
338,"The deer,","Ri kiej,",
339,Birds.,Tz'ikin.,
340,"THEN it was said to again therefore the deer,","TA xe'uchax chi k'ut ri kiej,",340
341,Birds,Tz'ikin,
342,"By Framer,","Rumal Tz'aqol,",
343,"Shaper,","B'itol,",
344,"She Who Has Borne Children,","Alom,",
345,"He Who Has Begotten Sons,","K'ajolom,",
346,“Speak!,“Kixch'awoq!,
347,Call!,Kixsik'inoq!,
348,"Don't moan,","Mixyonolikinik,",
349,Don't cry out.,Mixsik'inik.,
350,Let there be speech,Kixch'awajetaj,350
351,"Each to each,","Chi jujunal,",
352,"In each order,","Chi ju taq ch'ob'il,",
353,"In each group,”","Chi ju taq molajil,”",
354,"They were told the deer,","Xe'uchaxik ri kiej,",
355,"Birds,","Tz'ikin,",
356,"Pumas,","Koj,",
357,"Jaguars,","B'alam,",
358,"Serpents,","Kumatz,",
359,“Speak surely therefore the our names.,“Chib'ij na k'ut ri qa b'i'.,
360,"Worship us,","Kojiq'ijarisaj,",360
361,"We your mother,","Oj i chuch,",
362,We your father.,Oj i qajaw.,
363,You say this surely therefore:,Kixcha' wa' na k'ut:,
364,"‘Huracan,","‘Juraqan,",
365,"Youngest Thunderbolt,","Ch'i'pi Kaqulja,",
366,"Sudden Thunderbolt,","Raxa Kaqulja,",
367,"Its Heart Sky,","U K'u'x Kaj,",
368,"Its Heart Earth,","U K'u'x Ulew,",
369,"Framer,","Tz'aqol,",
370,"Shaper,","B'itol,",370
371,"She Who Has Borne Children,","Alom,",
372,He Who Has Begotten Sons.’,K'ajolom.’,
373,Speak!,Kixch'awoq!,
374,Call upon us!,Kojisik'ij!,
375,Worship us!” they were told.,Kojiq'ijila'!” xe'uchaxik.,
376,"Not therefore they succeeded,","Ma k'u xutzinik,",
377,They spoke not like then people.,Xech'awik keje' ta ri' winaq.,
378,"Merely they squawk,","Xa kewech'elajik,",
379,"Merely they chatter,","Xa kek'aralajik,",
380,Merely they roar.,Xa kewojonik.,380
381,Not appeared its face their speech,Mawi xwachinik u wach ki ch'ab'al.,
382,"Differently they cried out to each other when they heard it, Jalajoj xkoq'ib'ej chi ki jujunal ta xkita,",,
383,"The Framer,","Ri Tz'aqol,",
384,Shaper:,B'itol:,
385,“Not it came out well,“Mawi mi xutzinik,
386,"They spoke,”","Mi xech'awik,”",
387,They said then to each other:,Xecha' chik chi kib'il kib':,
388,“Not it came out well,“Mawi mi xutzin,
389,Its speaking our names by them.,U b'ixik qa b'i' rumal.,
390,"We their Framer,","Oj Kaj Tz'aq,",390
391,"We also their Shaper,","Oj pu Kaj B'it,",
392,"Not good,” they said then to each other,","Mawi utz,” xcha' chik chi kib'il kib',",
393,"The She Who Has Borne Children,","Ri Alom,",
394,He Who Has Begotten Sons.,K'ajolom.,
395,They were told therefore:,Xe'uchax k'ut:,
396,"“Merely you are replaced,",“Xa kixjalatajik,
397,"Because not succeeded,","Rumal mawi mi xutzinik,",
398,Not you spoke.,Mawi mi xixch'awik.,
399,Therefore we changed our word.,Mi k'u xqajal qa tzij.,
400,"Your food,","Iwecha',",400
401,"Your sustenance,","I k'uxun,",
402,"Your sleeping places,","I warab'al,",
403,Your resting places.,I yakalib'al.,
404,What belonged to you,Xiwech wi,
405,Came to be,Mi xe'uxik,
406,"Canyons,","Siwan,",
407,Forests.,K'eche'laj.,
408,"Because not was successful our being worshiped,","Rumal mawi xutzin qa q'ijiloxik,",
409,Not you callers of us.,Mawi ix sik'iy qe.,
410,"Yet there is,","K'a k'o,",410
411,"There is perhaps,","K'o wi lo,",
412,"Worshiper,","Q'ijilonel,",
413,"Honorer we will make now,","Nimanel chiqab'an chik,",
414,Merely you will receive your service.,Xa chik'am i patan.,
415,Merely your flesh will be chewed.,Xa i tio'jil chikach'ik.,
416,Then be it so.,Ta chuxoq.,
417,"This therefore you will serve,”","Are' k'ut chipatanij,”",
418,They were told.,Xe'uchaxik.,
419,"When they were commanded,","Ta xepixab'axik,",
420,"Small animals,","Ch'uti chikop,",420
421,Large animals that are upon its face earth.,Nima chikop k'o chuwach ulew.,
422,"Then they wanted therefore to try again their day,","Ta xraj k'u kitij chik ki q'ij,",
423,"They wanted to make an attempt again,","Xraj kitijitob'ej chik,",
