term_str,n,p,i,h,df,idf
all,239,0.005954457122925905,7.391814303317379,0.04401424132973376,32,0.044394119358453436
allied,4,9.965618615775574e-05,13.292681111298128,0.0013246979033632097,3,3.4594316186372973
allocated,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
allow,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
alone,28,0.0006975933031042902,10.485326189240524,0.007314493330478217,12,1.4594316186372973
along,49,0.001220788280432508,9.677971267182919,0.011814753901339455,25,0.4005379295837288
already,23,0.0005730230704070955,10.769119155241114,0.00617095372391613,14,1.2370391973008494
also,41,0.0010214759081169963,9.935129106680044,0.0101484950265056,21,0.6520766965796931
although,6,0.00014948427923663362,12.707718610576972,0.001899604157244054,5,2.722466024471091
always,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,1,5.044394119358453
am,27,0.0006726792565648513,10.53779360913466,0.007088555170826545,9,1.874469117916141
amazed,7,0.00017439832577607255,12.485326189240524,0.0021774199841716993,6,2.4594316186372973
amazement,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
amid,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
among,31,0.000772335442722607,10.338484800911253,0.007984778235792736,18,0.874469117916141
an,24,0.0005979371169465345,10.707718610576972,0.0064025423950831465,20,0.722466024471091
ancient,15,0.000373710698091584,11.385790515689608,0.0042549917219429,8,2.0443941193584534
and,1562,0.038915740694603615,4.6835023731561485,0.18226196389630533,33,0.0
andmake,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
andtheir,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
anger,3,7.474213961831681e-05,13.707718610576972,0.0010245442182403438,2,4.044394119358453
angle,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
angles,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
anguish,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,1,5.044394119358453
animal,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
animals,29,0.0007225073496437292,10.434700116170555,0.0075391475252615005,13,1.3439544012173612
ankles,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
anoint,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
anonas,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
another,31,0.000772335442722607,10.338484800911253,0.007984778235792736,15,1.1375035237499351
answer,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
answered,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
answering,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
anthill,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,1,5.044394119358453
ants,12,0.00029896855847326724,11.707718610576972,0.0035002397560148406,3,3.4594316186372973
any,14,0.0003487966515521451,11.485326189240524,0.004006043316791254,11,1.584962500721156
anyone,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
anything,7,0.00017439832577607255,12.485326189240524,0.0021774199841716993,7,2.237039197300849
anywhere,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
apart,9,0.00022422641885495043,12.122756109855816,0.00271824218916494,7,2.237039197300849
apiece,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
